"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",10414,3903,1107,168,5244
"Quechua (001)",5223,1792,383,68,2982
"Aymara (002)",19,2,5,,12
"Asháninka (003)",1,1,,,
"Otra lengua nativa (004)",15,11,1,,3
"Castellano (005)",5140,2094,718,100,2234
"Es Sordomudo/a (007)",16,3,,,13
"Hombres (009)",5294,1840,563,107,2789
"Quechua (010)",2568,793,203,41,1532
"Aymara (011)",8,,2,,6
"Otra lengua nativa (013)",10,7,1,,2
"Castellano (014)",2702,1039,357,66,1244
"Es Sordomudo/a (016)",6,1,,,5
"Mujeres (018)",5120,2063,544,61,2455
"Quechua (019)",2655,999,180,27,1450
"Aymara (020)",11,2,3,,6
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",5,4,,,1
"Castellano (023)",2438,1055,361,34,990
"Es Sordomudo/a (025)",10,2,,,8
,,,,,
"URBANA (027)",6979,2401,943,137,3505
"Quechua (028)",3002,888,302,46,1768
"Aymara (029)",15,2,4,,9
"Otra lengua nativa (031)",10,7,1,,2
"Castellano (032)",3941,1501,636,91,1718
"Es Sordomudo/a (034)",11,3,,,8
"Hombres (036)",3491,1131,466,86,1812
"Quechua (037)",1423,378,152,26,868
"Aymara (038)",5,,1,,4
"Otra lengua nativa (040)",7,5,1,,1
"Castellano (041)",2051,747,312,60,935
"Es Sordomudo/a (043)",5,1,,,4
"Mujeres (045)",3488,1270,477,51,1693
"Quechua (046)",1579,510,150,20,900
"Aymara (047)",10,2,3,,5
"Otra lengua nativa (049)",3,2,,,1
"Castellano (050)",1890,754,324,31,783
"Es Sordomudo/a (052)",6,2,,,4
,,,,,
"RURAL (054)",3435,1502,164,31,1739
"Quechua (055)",2221,904,81,22,1214
"Aymara (056)",4,,1,,3
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",5,4,,,1
"Castellano (059)",1199,593,82,9,516
"Es Sordomudo/a (061)",5,,,,5
"Hombres (063)",1803,709,97,21,977
"Quechua (064)",1145,415,51,15,664
"Aymara (065)",3,,1,,2
"Otra lengua nativa (067)",3,2,,,1
"Castellano (068)",651,292,45,6,309
"Es Sordomudo/a (070)",1,,,,1
"Mujeres (072)",1632,793,67,10,762
"Quechua (073)",1076,489,30,7,550
"Aymara (074)",1,,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",2,2,,,
"Castellano (077)",548,301,37,3,207
"Es Sordomudo/a (079)",4,,,,4
