"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TUMBES (000)",51729,34740,5304,4736,6949
"Empleado (001)",16535,5238,2403,3251,5643
"Obrero (002)",9207,5208,1371,1370,1258
"Trabajador independiente (003)",21669,20375,1294,,
"Empleador o patrono (004)",1315,1101,119,66,29
"Trabajador familiar no remunerado (005)",1773,1588,117,49,19
"Trabajador del hogar (006)",1230,1230,,,
"De 06 a 14 años (008)",530,445,57,17,11
"Empleado (009)",93,75,13,3,2
"Obrero (010)",79,47,11,13,8
"Trabajador independiente (011)",150,136,14,,
"Trabajador familiar no remunerado (013)",187,166,19,1,1
"Trabajador del hogar (014)",21,21,,,
"De 15 a 29 años (016)",16675,11306,1983,1433,1953
"Empleado (017)",5462,2392,837,806,1427
"Obrero (018)",3751,2052,593,593,513
"Trabajador independiente (019)",5900,5433,467,,
"Empleador o patrono (020)",250,207,24,13,6
"Trabajador familiar no remunerado (021)",768,678,62,21,7
"Trabajador del hogar (022)",544,544,,,
"De 30 a 44 años (024)",19857,12461,2085,2201,3110
"Empleado (025)",7117,1830,1055,1639,2593
"Obrero (026)",3378,1865,489,525,499
"Trabajador independiente (027)",8028,7557,471,,
"Empleador o patrono (028)",438,353,48,24,13
"Trabajador familiar no remunerado (029)",486,446,22,13,5
"Trabajador del hogar (030)",410,410,,,
"De 45 a 64 años (032)",12559,8609,1100,1037,1813
"Empleado (033)",3694,850,480,780,1584
"Obrero (034)",1759,1064,257,220,218
"Trabajador independiente (035)",6165,5852,313,,
"Empleador o patrono (036)",449,377,39,25,8
"Trabajador familiar no remunerado (037)",264,238,11,12,3
"Trabajador del hogar (038)",228,228,,,
"De 65 y más años (040)",2108,1919,79,48,62
"Empleado (041)",169,91,18,23,37
"Obrero (042)",240,180,21,19,20
"Trabajador independiente (043)",1426,1397,29,,
"Empleador o patrono (044)",178,164,8,4,2
"Trabajador familiar no remunerado (045)",68,60,3,2,3
"Trabajador del hogar (046)",27,27,,,
,,,,,
"URBANA (048)",47949,31672,5062,4472,6743
"Empleado (049)",16027,5081,2315,3117,5514
"Obrero (050)",8035,4324,1283,1246,1182
"Trabajador independiente (051)",20181,18936,1245,,
"Empleador o patrono (052)",1155,949,117,60,29
