"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PADRE ABAD (000)",15702,15095,4343,2356,2161,1751,2263,1186,618,417,607,39431
"De 12 a 14 años (001)",1770,1744,1722,21,1,,,,,,26,23
"De 15 a 19 años (002)",2511,2424,1744,561,100,15,4,,,,87,822
"De 20 a 24 años (003)",2163,1980,465,828,494,145,44,4,,,183,2464
"De 25 a 29 años (004)",1935,1810,174,458,535,371,239,27,6,,125,3877
"De 30 a 34 años (005)",1669,1580,74,161,402,405,416,98,14,10,89,4832
"De 35 a 39 años (006)",1652,1623,55,121,281,351,532,213,61,9,29,6055
"De 40 a 44 años (007)",1339,1314,47,77,161,223,429,235,102,40,25,5753
"De 45 a 49 años (008)",869,857,16,35,71,111,247,199,127,51,12,4535
"De 50 y más años (009)",1794,1763,46,94,116,130,352,410,308,307,31,11070
"PEA (010)",4965,4708,825,772,803,662,852,442,221,131,257,14286
"De 12 a 14 años (011)",124,121,118,3,,,,,,,3,3
"De 15 a 19 años (012)",525,500,336,122,36,4,2,,,,25,214
"De 20 a 24 años (013)",695,609,171,241,135,39,20,3,,,86,733
"De 25 a 29 años (014)",701,627,99,165,168,104,80,9,2,,74,1222
"De 30 a 34 años (015)",578,554,42,76,144,129,127,27,5,4,24,1556
"De 35 a 39 años (016)",681,664,22,70,136,152,189,70,23,2,17,2293
"De 40 a 44 años (017)",631,617,13,39,95,120,187,107,40,16,14,2599
"De 45 a 49 años (018)",410,406,9,21,38,54,121,86,56,21,4,2053
"De 50 y más años (019)",620,610,15,35,51,60,126,140,95,88,10,3613
"Ocupada (020)",4806,4563,774,754,770,646,838,436,218,127,243,13980
"De 12 a 14 años (021)",121,118,115,3,,,,,,,3,3
"De 15 a 19 años (022)",496,473,315,118,34,4,2,,,,23,206
