"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASCOPE (000)",37960,23660,4139,4269,5892
"Sin nivel (001)",1390,1072,140,105,73
"Educación inicial (002)",57,39,4,10,4
"Primaria (003)",7966,5775,851,598,742
"Secundaria (004)",15463,10015,1639,1585,2224
"Superior no univ. incompleta (005)",2692,1665,288,271,468
"Superior no univ. completa (006)",5377,2802,596,770,1209
"Superior univ. incompleta (007)",1371,797,144,167,263
"Superior univ. completa (008)",3644,1495,477,763,909
"De 06 a 14 años (010)",328,251,42,25,10
"Sin nivel (011)",15,9,2,2,2
"Educación inicial (012)",7,7,,,
"Primaria (013)",189,143,26,13,7
"Secundaria (014)",117,92,14,10,1
"De 15 a 29 años (020)",11205,7086,1413,1157,1549
"Sin nivel (021)",168,114,20,18,16
"Educación inicial (022)",41,26,3,8,4
"Primaria (023)",1898,1277,260,177,184
"Secundaria (024)",5279,3533,657,493,596
"Superior no univ. incompleta (025)",1063,698,117,90,158
"Superior no univ. completa (026)",1565,813,193,210,349
"Superior univ. incompleta (027)",526,318,65,60,83
"Superior univ. completa (028)",665,307,98,101,159
"De 30 a 44 años (030)",14013,8432,1547,1778,2256
"Sin nivel (031)",410,309,47,35,19
"Educación inicial (032)",9,6,1,2,
"Primaria (033)",2169,1532,257,172,208
"Secundaria (034)",5738,3728,566,637,807
"Superior no univ. incompleta (035)",1045,617,118,124,186
"Superior no univ. completa (036)",2398,1264,268,351,515
"Superior univ. incompleta (037)",505,270,51,73,111
"Superior univ. completa (038)",1739,706,239,384,410
"De 45 a 64 años (040)",10956,6635,1037,1265,2019
"Sin nivel (041)",525,401,49,43,32
"Primaria (043)",2926,2135,255,218,318
"Secundaria (044)",4101,2469,388,440,804
"Superior no univ. incompleta (045)",544,317,49,55,123
"Superior no univ. completa (046)",1362,679,134,207,342
"Superior univ. incompleta (047)",324,195,28,32,69
"Superior univ. completa (048)",1174,439,134,270,331
"De 65 y más años (050)",1458,1256,100,44,58
"Sin nivel (051)",272,239,22,7,4
"Primaria (053)",784,688,53,18,25
"Secundaria (054)",228,193,14,5,16
"Superior no univ. incompleta (055)",40,33,4,2,1
"Superior no univ. completa (056)",52,46,1,2,3
"Superior univ. incompleta (057)",16,14,,2,
