"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia AREQUIPA (000)",364137,344834,119334,56156,63581,41838,38298,15652,9975,19303
"Católica (001)",319728,302900,103825,49879,56914,36953,33309,13484,8536,16828
"Cristiana/Evangélica (002)",24598,23312,8148,3402,3753,2894,2966,1295,854,1286
"Otra (003)",13888,13155,4894,1877,2060,1503,1621,721,479,733
"Ninguna (004)",5923,5467,2467,998,854,488,402,152,106,456
,,,,,,,,,,
"URBANA (006)",356511,337387,117213,55132,62362,40950,37196,15049,9485,19124
"Católica (007)",312998,296334,101947,48967,55827,36181,32347,12953,8112,16664
"Cristiana/Evangélica (008)",23941,22660,7965,3325,3655,2814,2860,1237,804,1281
"Otra (009)",13755,13028,4866,1861,2039,1487,1597,712,466,727
"Ninguna (010)",5817,5365,2435,979,841,468,392,147,103,452
,,,,,,,,,,
"RURAL (012)",7626,7447,2121,1024,1219,888,1102,603,490,179
"Católica (013)",6730,6566,1878,912,1087,772,962,531,424,164
"Cristiana/Evangélica (014)",657,652,183,77,98,80,106,58,50,5
"Otra (015)",133,127,28,16,21,16,24,9,13,6
"Ninguna (016)",106,102,32,19,13,20,10,5,3,4
