"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOHO (000)",11279,1804,21,5142,3556,157,247,105,247
"Empleado (001)",598,1,,28,146,37,160,47,179
"Obrero (002)",860,140,4,393,294,16,9,3,1
"Trabajador independiente (003)",5910,982,7,2816,1898,78,48,37,44
"Empleador o patrono (004)",58,18,,26,10,,,2,2
"Trabajador familiar no remunerado (005)",3806,656,9,1861,1189,25,29,16,21
"Trabajador del hogar (006)",47,7,1,18,19,1,1,,
"Hombres (008)",6234,522,8,2753,2376,127,172,86,190
"Empleado (009)",448,1,,21,107,31,109,38,141
"Obrero (010)",575,48,2,255,242,15,9,3,1
"Trabajador independiente (011)",3778,356,3,1859,1401,60,38,31,30
"Empleador o patrono (012)",34,7,,18,7,,,2,
"Trabajador familiar no remunerado (013)",1392,110,3,598,615,20,16,12,18
"Trabajador del hogar (014)",7,,,2,4,1,,,
"Mujeres (016)",5045,1282,13,2389,1180,30,75,19,57
"Empleado (017)",150,,,7,39,6,51,9,38
"Obrero (018)",285,92,2,138,52,1,,,
"Trabajador independiente (019)",2132,626,4,957,497,18,10,6,14
"Empleador o patrono (020)",24,11,,8,3,,,,2
"Trabajador familiar no remunerado (021)",2414,546,6,1263,574,5,13,4,3
"Trabajador del hogar (022)",40,7,1,16,15,,1,,
,,,,,,,,,
"URBANA (024)",2899,338,5,956,1141,91,148,75,145
"Empleado (025)",385,,,14,85,26,115,36,109
"Obrero (026)",136,15,,33,71,9,5,3,
"Trabajador independiente (027)",1649,203,3,639,688,44,20,26,26
"Empleador o patrono (028)",14,5,,4,2,,,2,1
"Trabajador familiar no remunerado (029)",695,110,2,261,286,12,7,8,9
"Trabajador del hogar (030)",20,5,,5,9,,1,,
"Hombres (032)",1674,120,2,511,707,69,98,61,106
"Empleado (033)",276,,,8,59,20,77,30,82
"Obrero (034)",120,12,,25,66,9,5,3,
"Trabajador independiente (035)",999,86,2,382,448,30,14,21,16
"Empleador o patrono (036)",7,1,,2,2,,,2,
"Trabajador familiar no remunerado (037)",267,21,,92,129,10,2,5,8
"Trabajador del hogar (038)",5,,,2,3,,,,
"Mujeres (040)",1225,218,3,445,434,22,50,14,39
"Empleado (041)",109,,,6,26,6,38,6,27
"Obrero (042)",16,3,,8,5,,,,
"Trabajador independiente (043)",650,117,1,257,240,14,6,5,10
"Empleador o patrono (044)",7,4,,2,,,,,1
"Trabajador familiar no remunerado (045)",428,89,2,169,157,2,5,3,1
"Trabajador del hogar (046)",15,5,,3,6,,1,,
,,,,,,,,,
"RURAL (048)",8380,1466,16,4186,2415,66,99,30,102
"Empleado (049)",213,1,,14,61,11,45,11,70
"Obrero (050)",724,125,4,360,223,7,4,,1
"Trabajador independiente (051)",4261,779,4,2177,1210,34,28,11,18
"Empleador o patrono (052)",44,13,,22,8,,,,1
"Trabajador familiar no remunerado (053)",3111,546,7,1600,903,13,22,8,12
"Trabajador del hogar (054)",27,2,1,13,10,1,,,
"Hombres (056)",4560,402,6,2242,1669,58,74,25,84
"Empleado (057)",172,1,,13,48,11,32,8,59
"Obrero (058)",455,36,2,230,176,6,4,,1
"Trabajador independiente (059)",2779,270,1,1477,953,30,24,10,14
"Empleador o patrono (060)",27,6,,16,5,,,,
"Trabajador familiar no remunerado (061)",1125,89,3,506,486,10,14,7,10
"Trabajador del hogar (062)",2,,,,1,1,,,
"Mujeres (064)",3820,1064,10,1944,746,8,25,5,18
"Empleado (065)",41,,,1,13,,13,3,11
"Obrero (066)",269,89,2,130,47,1,,,
"Trabajador independiente (067)",1482,509,3,700,257,4,4,1,4
"Empleador o patrono (068)",17,7,,6,3,,,,1
"Trabajador familiar no remunerado (069)",1986,457,4,1094,417,3,8,1,2
"Trabajador del hogar (070)",25,2,1,13,9,,,,
