"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUANTA",,,,,,,,,
"Viviendas particulares (001)",9671,359,812,497,995,417,847,235,5509
"Ocupantes presentes (002)",41610,1559,3653,2276,4210,1749,3687,1073,23403
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",9224,345,725,487,964,393,812,230,5268
"Ocupantes presentes (005)",39739,1509,3307,2217,4060,1665,3531,1044,22406
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",30,,,1,5,5,10,1,8
"Ocupantes presentes (008)",123,,,2,27,14,46,2,32
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",104,1,22,5,16,7,17,2,34
"Ocupantes presentes (011)",481,5,85,37,75,34,77,22,146
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",71,,6,4,7,12,8,,34
"Ocupantes presentes (014)",288,,29,20,34,36,33,,136
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",207,13,56,,,,,,138
"Ocupantes presentes (017)",812,45,211,,,,,,556
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",27,,3,,1,,,2,21
"Ocupantes presentes (020)",125,,21,,5,,,5,94
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,,,,2,,,,6
"Ocupantes presentes (023)",42,,,,9,,,,33
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6390,226,611,413,778,369,820,183,2990
"Ocupantes presentes (029)",27909,1017,2827,1945,3294,1525,3570,847,12884
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6155,225,580,403,747,345,785,178,2892
"Ocupantes presentes (032)",26881,1012,2692,1886,3144,1441,3414,818,12474
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",30,,,1,5,5,10,1,8
"Ocupantes presentes (035)",123,,,2,27,14,46,2,32
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",104,1,22,5,16,7,17,2,34
"Ocupantes presentes (038)",481,5,85,37,75,34,77,22,146
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",71,,6,4,7,12,8,,34
"Ocupantes presentes (041)",288,,29,20,34,36,33,,136
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",27,,3,,1,,,2,21
"Ocupantes presentes (047)",125,,21,,5,,,5,94
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,,,,2,,,,1
"Ocupantes presentes (050)",11,,,,9,,,,2
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3281,133,201,84,217,48,27,52,2519
"Ocupantes presentes (056)",13701,542,826,331,916,224,117,226,10519
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3069,120,145,84,217,48,27,52,2376
"Ocupantes presentes (059)",12858,497,615,331,916,224,117,226,9932
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",207,13,56,,,,,,138
"Ocupantes presentes (071)",812,45,211,,,,,,556
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",31,,,,,,,,31
"Otro tipo",,,,,,,,,
