"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia CHINCHEROS",,,,,,,,
"Viviendas particulares (001)",13194,12123,886,16,32,110,18,9
"Ocupantes presentes (002)",51325,47237,3416,50,130,408,54,30
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",12923,11878,865,16,30,109,18,7
"Ocupantes presentes (005)",50712,46711,3346,50,124,400,54,27
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",1,,1,,,,,
"Ocupantes presentes (008)",6,,6,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",2,,2,,,,,
"Ocupantes presentes (011)",9,,9,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",30,11,16,,2,1,,
"Ocupantes presentes (014)",109,43,52,,6,8,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",228,225,1,,,,,2
"Ocupantes presentes (017)",459,454,2,,,,,3
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",2,1,1,,,,,
"Ocupantes presentes (020)",4,3,1,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",7,7,,,,,,
"Ocupantes presentes (023)",19,19,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",1,1,,,,,,
"Ocupantes presentes (026)",7,7,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",4158,3367,643,15,30,97,3,3
"Ocupantes presentes (029)",16336,13344,2437,48,118,368,10,11
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",4121,3353,623,15,28,96,3,3
"Ocupantes presentes (032)",16201,13291,2369,48,112,360,10,11
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",1,,1,,,,,
"Ocupantes presentes (035)",6,,6,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",2,,2,,,,,
"Ocupantes presentes (038)",9,,9,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",30,11,16,,2,1,,
"Ocupantes presentes (041)",109,43,52,,6,8,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",2,1,1,,,,,
"Ocupantes presentes (047)",4,3,1,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,2,,,,,,
"Ocupantes presentes (050)",7,7,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",9036,8756,243,1,2,13,15,6
"Ocupantes presentes (056)",34989,33893,979,2,12,40,44,19
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",8802,8525,242,1,2,13,15,4
"Ocupantes presentes (059)",34511,33420,977,2,12,40,44,16
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",228,225,1,,,,,2
"Ocupantes presentes (071)",459,454,2,,,,,3
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",5,5,,,,,,
"Ocupantes presentes (077)",12,12,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,
"Ocupantes presentes (080)",7,7,,,,,,
