"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANTA (000)",48328,7615,15835,11801,13077
"Asiste actualmente (001)",31820,2504,14949,10537,3830
"No asiste (002)",16508,5111,886,1264,9247
"Hombres (004)",24686,3872,8024,6034,6756
"Asiste actualmente (005)",16348,1262,7554,5426,2106
"No asiste (006)",8338,2610,470,608,4650
"Mujeres (008)",23642,3743,7811,5767,6321
"Asiste actualmente (009)",15472,1242,7395,5111,1724
"No asiste (010)",8170,2501,416,656,4597
,,,,,
"URBANA (012)",22462,3105,7073,5908,6376
"Asiste actualmente (013)",16206,1366,6822,5486,2532
"No asiste (014)",6256,1739,251,422,3844
"Hombres (016)",11328,1578,3568,2956,3226
"Asiste actualmente (017)",8168,661,3429,2743,1335
"No asiste (018)",3160,917,139,213,1891
"Mujeres (020)",11134,1527,3505,2952,3150
"Asiste actualmente (021)",8038,705,3393,2743,1197
"No asiste (022)",3096,822,112,209,1953
,,,,,
"RURAL (024)",25866,4510,8762,5893,6701
"Asiste actualmente (025)",15614,1138,8127,5051,1298
"No asiste (026)",10252,3372,635,842,5403
"Hombres (028)",13358,2294,4456,3078,3530
"Asiste actualmente (029)",8180,601,4125,2683,771
"No asiste (030)",5178,1693,331,395,2759
"Mujeres (032)",12508,2216,4306,2815,3171
"Asiste actualmente (033)",7434,537,4002,2368,527
"No asiste (034)",5074,1679,304,447,2644
