"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",16175,1374,1609,7771,103,4794,199,325
"Agric., ganadería, caza y silvicultura (001)",12289,8,962,6748,57,4514,,
"Pesca (002)",216,,98,25,,93,,
"Explotación de minas y canteras (003)",107,18,55,22,8,4,,
"Industrias manufactureras (004)",234,8,94,111,6,15,,
"Suministro de electricidad, gas y agua (005)",1,1,,,,,,
"Construcción (006)",160,3,120,27,7,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",656,111,7,425,17,96,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",52,4,5,38,2,3,,
"Comercio al por mayor (009)",37,9,,21,3,4,,
"Comercio al por menor (010)",567,98,2,366,12,89,,
"Hoteles y restaurantes (011)",216,58,14,125,1,18,,
"Trans., almac. y comunicaciones (012)",164,36,53,69,2,4,,
"Intermediación financiera (013)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (014)",65,47,5,12,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",163,142,21,,,,,
"Enseñanza (016)",742,696,,34,,12,,
"Servicios sociales y de salud (017)",128,111,2,9,3,3,,
"Otras activ. serv.comun.soc y personales (018)",86,43,12,28,,3,,
"Hogares privados con servicio doméstico (019)",199,,,,,,199,
"Actividad economica no especificada (021)",420,88,166,136,2,28,,
"Desocupado (022)",325,,,,,,,325
"Hombres (023)",10026,966,1150,5869,67,1682,20,272
"Agric., ganadería, caza y silvicultura (024)",7329,6,567,5207,31,1518,,
"Pesca (025)",211,,97,24,,90,,
"Explotación de minas y canteras (026)",97,17,53,17,7,3,,
"Industrias manufactureras (027)",201,5,84,93,5,14,,
"Suministro de electricidad, gas y agua (028)",1,1,,,,,,
"Construcción (029)",159,3,120,26,7,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",393,73,7,277,13,23,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",48,4,5,35,2,2,,
"Comercio al por mayor (032)",27,7,,16,3,1,,
"Comercio al por menor (033)",318,62,2,226,8,20,,
"Hoteles y restaurantes (034)",57,23,7,24,,3,,
"Trans., almac. y comunicaciones (035)",157,33,53,69,1,1,,
"Intermediación financiera (036)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (037)",58,42,5,10,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",137,121,16,,,,,
"Enseñanza (039)",525,493,,24,,8,,
"Servicios sociales y de salud (040)",78,67,2,5,1,3,,
"Otras activ. serv.comun.soc y personales (041)",50,28,3,17,,2,,
"Hogares privados con servicio doméstico (042)",20,,,,,,20,
"Actividad economica no especificada (044)",279,52,136,76,2,13,,
"Desocupado (045)",272,,,,,,,272
"Mujeres (046)",6149,408,459,1902,36,3112,179,53
"Agric., ganadería, caza y silvicultura (047)",4960,2,395,1541,26,2996,,
"Pesca (048)",5,,1,1,,3,,
"Explotación de minas y canteras (049)",10,1,2,5,1,1,,
"Industrias manufactureras (050)",33,3,10,18,1,1,,
"Construcción (052)",1,,,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",263,38,,148,4,73,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,3,,1,,
"Comercio al por mayor (055)",10,2,,5,,3,,
"Comercio al por menor (056)",249,36,,140,4,69,,
"Hoteles y restaurantes (057)",159,35,7,101,1,15,,
"Trans., almac. y comunicaciones (058)",7,3,,,1,3,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",7,5,,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",26,21,5,,,,,
"Enseñanza (062)",217,203,,10,,4,,
"Servicios sociales y de salud (063)",50,44,,4,2,,,
"Otras activ. serv.comun.soc y personales (064)",36,15,9,11,,1,,
"Hogares privados con servicio doméstico (065)",179,,,,,,179,
"Actividad economica no especificada (067)",141,36,30,60,,15,,
"Desocupado (068)",53,,,,,,,53
,,,,,,,,
"URBANA (069)",4278,788,569,1902,60,649,148,162
"Agric., ganadería, caza y silvicultura (070)",1830,2,221,1106,22,479,,
"Pesca (071)",68,,36,5,,27,,
"Explotación de minas y canteras (072)",31,1,16,9,5,,,
"Industrias manufactureras (073)",156,7,49,89,5,6,,
"Suministro de electricidad, gas y agua (074)",1,1,,,,,,
"Construcción (075)",117,3,85,22,6,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",566,98,6,358,14,90,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",44,3,4,32,2,3,,
"Comercio al por mayor (078)",27,8,,14,1,4,,
"Comercio al por menor (079)",495,87,2,312,11,83,,
"Hoteles y restaurantes (080)",191,43,9,122,1,16,,
"Trans., almac. y comunicaciones (081)",134,24,40,64,2,4,,
"Intermediación financiera (082)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (083)",52,37,5,9,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",104,90,14,,,,,
"Enseñanza (085)",352,325,,20,,7,,
"Servicios sociales y de salud (086)",70,60,1,6,3,,,
"Otras activ. serv.comun.soc y personales (087)",62,26,11,24,,1,,
"Hogares privados con servicio doméstico (088)",148,,,,,,148,
"Actividad economica no especificada (090)",230,67,76,68,2,17,,
"Desocupado (091)",162,,,,,,,162
"Hombres (092)",2759,500,478,1331,45,262,16,127
"Agric., ganadería, caza y silvicultura (093)",1231,2,171,847,17,194,,
"Pesca (094)",68,,36,5,,27,,
"Explotación de minas y canteras (095)",30,1,16,9,4,,,
"Industrias manufactureras (096)",130,4,46,71,4,5,,
"Suministro de electricidad, gas y agua (097)",1,1,,,,,,
"Construcción (098)",116,3,85,21,6,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",321,63,6,222,10,20,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",41,3,4,30,2,2,,
"Comercio al por mayor (101)",17,6,,9,1,1,,
"Comercio al por menor (102)",263,54,2,183,7,17,,
"Hoteles y restaurantes (103)",41,11,4,24,,2,,
"Trans., almac. y comunicaciones (104)",128,22,40,64,1,1,,
"Intermediación financiera (105)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (106)",46,33,5,7,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",81,72,9,,,,,
"Enseñanza (108)",219,204,,12,,3,,
"Servicios sociales y de salud (109)",36,31,1,3,1,,,
"Otras activ. serv.comun.soc y personales (110)",32,15,3,14,,,,
"Hogares privados con servicio doméstico (111)",16,,,,,,16,
"Actividad economica no especificada (113)",134,36,56,32,2,8,,
"Desocupado (114)",127,,,,,,,127
"Mujeres (115)",1519,288,91,571,15,387,132,35
"Agric., ganadería, caza y silvicultura (116)",599,,50,259,5,285,,
"Explotación de minas y canteras (118)",1,,,,1,,,
"Industrias manufactureras (119)",26,3,3,18,1,1,,
"Construcción (121)",1,,,1,,,,
