"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia PUNO",,,,
"Viviendas particulares (001)",33549,25406,6682,1461
"Ocupantes presentes (002)",120908,93841,22289,4778
"Casa independiente",,,,
"Viviendas particulares (004)",30822,23693,5738,1391
"Ocupantes presentes (005)",112595,88406,19650,4539
"Departamento en edificio",,,,
"Viviendas particulares (007)",1083,872,211,
"Ocupantes presentes (008)",3340,2751,589,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",315,246,69,
"Ocupantes presentes (011)",1006,789,217,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",1248,577,658,13
"Ocupantes presentes (014)",3683,1843,1814,26
"Choza o cabaña",,,,
"Viviendas particulares (016)",54,,,54
"Ocupantes presentes (017)",205,,,205
"Vivienda improvisada",,,,
"Viviendas particulares (019)",9,3,3,3
"Ocupantes presentes (020)",34,12,14,8
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",18,15,3,
"Ocupantes presentes (023)",45,40,5,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",31230,23845,6220,1165
"Ocupantes presentes (029)",112740,88156,20772,3812
"Casa independiente",,,,
"Viviendas particulares (031)",28602,22178,5322,1102
"Ocupantes presentes (032)",104699,82868,18234,3597
"Departamento en edificio",,,,
"Viviendas particulares (034)",1073,862,211,
"Ocupantes presentes (035)",3301,2712,589,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",311,242,69,
"Ocupantes presentes (038)",997,780,217,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",1170,546,612,12
"Ocupantes presentes (041)",3485,1750,1713,22
"Choza o cabaña",,,,
"Viviendas particulares (043)",48,,,48
"Ocupantes presentes (044)",185,,,185
"Vivienda improvisada",,,,
"Viviendas particulares (046)",9,3,3,3
"Ocupantes presentes (047)",34,12,14,8
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",17,14,3,
"Ocupantes presentes (050)",39,34,5,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",2319,1561,462,296
"Ocupantes presentes (056)",8168,5685,1517,966
"Casa independiente",,,,
"Viviendas particulares (058)",2220,1515,416,289
"Ocupantes presentes (059)",7896,5538,1416,942
"Departamento en edificio",,,,
"Viviendas particulares (061)",10,10,,
"Ocupantes presentes (062)",39,39,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",4,4,,
"Ocupantes presentes (065)",9,9,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",78,31,46,1
"Ocupantes presentes (068)",198,93,101,4
"Choza o cabaña",,,,
"Viviendas particulares (070)",6,,,6
"Ocupantes presentes (071)",20,,,20
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,1,,
"Ocupantes presentes (077)",6,6,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",30314,23625,6138,551
"Ocupantes presentes (110)",110741,88099,20715,1927
"Casa independiente",,,,
"Viviendas particulares (112)",27641,21912,5194,535
"Ocupantes presentes (113)",102633,82664,18076,1893
"Departamento en edificio",,,,
"Viviendas particulares (115)",1083,872,211,
"Ocupantes presentes (116)",3340,2751,589,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",315,246,69,
"Ocupantes presentes (119)",1006,789,217,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",1248,577,658,13
"Ocupantes presentes (122)",3683,1843,1814,26
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",9,3,3,3
"Ocupantes presentes (128)",34,12,14,8
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",18,15,3,
"Ocupantes presentes (131)",45,40,5,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",28448,22250,5816,382
"Ocupantes presentes (137)",103851,82952,19569,1330
"Casa independiente",,,,
"Viviendas particulares (139)",25868,20583,4918,367
"Ocupantes presentes (140)",95995,77664,17031,1300
"Departamento en edificio",,,,
"Viviendas particulares (142)",1073,862,211,
"Ocupantes presentes (143)",3301,2712,589,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",311,242,69,
"Ocupantes presentes (146)",997,780,217,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",1170,546,612,12
"Ocupantes presentes (149)",3485,1750,1713,22
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",9,3,3,3
"Ocupantes presentes (155)",34,12,14,8
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",17,14,3,
"Ocupantes presentes (158)",39,34,5,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",1866,1375,322,169
"Ocupantes presentes (164)",6890,5147,1146,597
"Casa independiente",,,,
"Viviendas particulares (166)",1773,1329,276,168
"Ocupantes presentes (167)",6638,5000,1045,593
"Departamento en edificio",,,,
"Viviendas particulares (169)",10,10,,
"Ocupantes presentes (170)",39,39,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",4,4,,
"Ocupantes presentes (173)",9,9,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",78,31,46,1
"Ocupantes presentes (176)",198,93,101,4
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,1,,
"Ocupantes presentes (185)",6,6,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",3235,1781,544,910
"Ocupantes presentes (218)",10167,5742,1574,2851
"Casa independiente",,,,
"Viviendas particulares (220)",3181,1781,544,856
"Ocupantes presentes (221)",9962,5742,1574,2646
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",54,,,54
"Ocupantes presentes (233)",205,,,205
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",2782,1595,404,783
"Ocupantes presentes (245)",8889,5204,1203,2482
"Casa independiente",,,,
"Viviendas particulares (247)",2734,1595,404,735
"Ocupantes presentes (248)",8704,5204,1203,2297
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",48,,,48
"Ocupantes presentes (260)",185,,,185
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",453,186,140,127
"Ocupantes presentes (272)",1278,538,371,369
"Casa independiente",,,,
"Viviendas particulares (274)",447,186,140,121
"Ocupantes presentes (275)",1258,538,371,349
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",6,,,6
"Ocupantes presentes (287)",20,,,20
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
