"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YAULI (000)",905,8,495,278,118,6
"Sin nivel (001)",8,,2,1,4,1
"Educación inicial (002)",1,,,1,,
"Primaria (003)",95,7,34,27,26,1
"Secundaria (004)",490,1,270,153,62,4
"Superior no univ. incompleta (005)",93,,62,24,7,
"Superior no univ. completa (006)",109,,68,34,7,
"Superior univ. incompleta (007)",33,,19,9,5,
"Superior univ. completa (008)",76,,40,29,7,
"Hombres (010)",671,6,346,212,101,6
"Sin nivel (011)",6,,2,1,2,1
"Educación inicial (012)",1,,,1,,
"Primaria (013)",77,5,29,19,23,1
"Secundaria (014)",387,1,195,133,54,4
"Superior no univ. incompleta (015)",63,,43,15,5,
"Superior no univ. completa (016)",68,,40,22,6,
"Superior univ. incompleta (017)",27,,17,6,4,
"Superior univ. completa (018)",42,,20,15,7,
"Mujeres (020)",234,2,149,66,17,
"Sin nivel (021)",2,,,,2,
"Primaria (023)",18,2,5,8,3,
"Secundaria (024)",103,,75,20,8,
"Superior no univ. incompleta (025)",30,,19,9,2,
"Superior no univ. completa (026)",41,,28,12,1,
"Superior univ. incompleta (027)",6,,2,3,1,
"Superior univ. completa (028)",34,,20,14,,
,,,,,,
"Area Urbana (030)",812,4,446,251,105,6
"Sin nivel (031)",6,,,1,4,1
"Educación inicial (032)",1,,,1,,
"Primaria (033)",80,4,28,25,22,1
"Secundaria (034)",436,,242,136,54,4
"Superior no univ. incompleta (035)",86,,58,22,6,
"Superior no univ. completa (036)",100,,63,30,7,
"Superior univ. incompleta (037)",31,,18,8,5,
"Superior univ. completa (038)",72,,37,28,7,
"Hombres (040)",593,3,306,189,89,6
"Sin nivel (041)",4,,,1,2,1
"Educación inicial (042)",1,,,1,,
"Primaria (043)",63,3,23,17,19,1
"Secundaria (044)",338,,170,117,47,4
"Superior no univ. incompleta (045)",58,,40,14,4,
"Superior no univ. completa (046)",63,,37,20,6,
"Superior univ. incompleta (047)",25,,16,5,4,
"Superior univ. completa (048)",41,,20,14,7,
"Mujeres (050)",219,1,140,62,16,
"Sin nivel (051)",2,,,,2,
"Primaria (053)",17,1,5,8,3,
"Secundaria (054)",98,,72,19,7,
"Superior no univ. incompleta (055)",28,,18,8,2,
"Superior no univ. completa (056)",37,,26,10,1,
"Superior univ. incompleta (057)",6,,2,3,1,
"Superior univ. completa (058)",31,,17,14,,
,,,,,,
"Area Rural (060)",93,4,49,27,13,
"Sin nivel (061)",2,,2,,,
"Primaria (063)",15,3,6,2,4,
"Secundaria (064)",54,1,28,17,8,
"Superior no univ. incompleta (065)",7,,4,2,1,
"Superior no univ. completa (066)",9,,5,4,,
"Superior univ. incompleta (067)",2,,1,1,,
"Superior univ. completa (068)",4,,3,1,,
"Hombres (070)",78,3,40,23,12,
"Sin nivel (071)",2,,2,,,
"Primaria (073)",14,2,6,2,4,
"Secundaria (074)",49,1,25,16,7,
"Superior no univ. incompleta (075)",5,,3,1,1,
"Superior no univ. completa (076)",5,,3,2,,
"Superior univ. incompleta (077)",2,,1,1,,
"Superior univ. completa (078)",1,,,1,,
"Mujeres (080)",15,1,9,4,1,
"Primaria (083)",1,1,,,,
"Secundaria (084)",5,,3,1,1,
"Superior no univ. incompleta (085)",2,,1,1,,
"Superior no univ. completa (086)",4,,2,2,,
"Superior univ. completa (088)",3,,3,,,
