"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,3856,437,382,417
"Sin nivel (001)",1176,1083,69,13,11
"Educación inicial (002)",13,11,1,1,
"Primaria (003)",1726,1555,74,30,67
"Secundaria (004)",1084,799,86,70,129
"Superior no univ. incompleta (005)",155,81,23,18,33
"Superior no univ. completa (006)",460,167,92,115,86
"Superior univ. incompleta (007)",107,42,21,16,28
"Superior univ. completa (008)",371,118,71,119,63
"De 06 a 14 años (010)",53,50,2,1,
"Sin nivel (011)",3,3,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",39,36,2,1,
"Secundaria (014)",10,10,,,
"De 15 a 29 años (020)",1599,1152,128,128,191
"Sin nivel (021)",62,55,6,1,
"Educación inicial (022)",6,5,,1,
"Primaria (023)",531,474,20,16,21
"Secundaria (024)",622,462,40,48,72
"Superior no univ. incompleta (025)",96,51,14,9,22
"Superior no univ. completa (026)",151,60,27,27,37
"Superior univ. incompleta (027)",54,23,9,3,19
"Superior univ. completa (028)",77,22,12,23,20
"De 30 a 44 años (030)",1722,1227,173,179,143
"Sin nivel (031)",359,319,29,8,3
"Educación inicial (032)",6,5,1,,
"Primaria (033)",565,515,22,6,22
"Secundaria (034)",305,227,26,13,39
"Superior no univ. incompleta (035)",41,20,6,7,8
"Superior no univ. completa (036)",229,69,47,73,40
"Superior univ. incompleta (037)",38,15,7,9,7
"Superior univ. completa (038)",179,57,35,63,24
"De 45 a 64 años (040)",1327,1058,118,73,78
"Sin nivel (041)",502,467,24,3,8
"Primaria (043)",488,432,27,7,22
"Secundaria (044)",127,85,18,9,15
"Superior no univ. incompleta (045)",16,8,3,2,3
"Superior no univ. completa (046)",73,32,17,15,9
"Superior univ. incompleta (047)",15,4,5,4,2
"Superior univ. completa (048)",106,30,24,33,19
"De 65 y más años (050)",391,369,16,1,5
"Sin nivel (051)",250,239,10,1,
"Primaria (053)",103,98,3,,2
"Secundaria (054)",20,15,2,,3
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",7,6,1,,
"Superior univ. completa (058)",9,9,,,
,,,,,
"URBANA (060)",1303,713,157,212,221
"Sin nivel (061)",90,82,6,,2
