"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",6729,210,2308,2174,1524,513
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,,2,7,4,
"Profes., científicos e intelectuales (002)",491,,96,272,119,4
"Técnicos de nivel medio y trab.asimilados (003)",80,1,24,35,18,2
"Jefes y empleados de oficina (004)",81,,23,37,21,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",262,6,55,98,78,25
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2168,10,502,728,675,253
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",341,11,132,111,72,15
"Obreros construc., conf., papel, fab., instr. (008)",211,,72,74,54,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2142,144,869,582,383,164
"Otra (010)",9,,2,4,3,
"Ocupación no especificada (011)",125,,48,33,28,16
"Desocupado (012)",806,38,483,193,69,23
"Hombres (013)",5211,114,1761,1657,1232,447
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",12,,2,7,3,
"Profes., científicos e intelectuales (015)",265,,47,135,81,2
"Técnicos de nivel medio y trab.asimilados (016)",66,1,18,30,15,2
"Jefes y empleados de oficina (017)",52,,11,24,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",102,4,21,37,27,13
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1997,9,459,669,618,242
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",186,,67,65,42,12
"Obreros construc., conf., papel, fab., instr. (021)",209,,72,72,54,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1679,81,708,448,302,140
"Otra (023)",9,,2,4,3,
"Ocupación no especificada (024)",27,,12,4,8,3
"Desocupado (025)",607,19,342,162,62,22
"Mujeres (026)",1518,96,547,517,292,66
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",1,,,,1,
"Profes., científicos e intelectuales (028)",226,,49,137,38,2
"Técnicos de nivel medio y trab.asimilados (029)",14,,6,5,3,
"Jefes y empleados de oficina (030)",29,,12,13,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",160,2,34,61,51,12
"Agricult.trabaj. calif. agrop. y pesqueros (032)",171,1,43,59,57,11
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",155,11,65,46,30,3
"Obreros construc., conf., papel, fab., instr. (034)",2,,,2,,
