"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia SULLANA",,,,,,,,,
"Viviendas particulares (001)",63939,38051,2194,2640,2803,2994,8222,5084,1951
"Ocupantes presentes (002)",285727,179909,9754,11017,10553,12711,33728,20103,7952
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",63383,37651,2173,2631,2780,2984,8185,5044,1935
"Ocupantes presentes (005)",283622,178327,9680,10971,10486,12676,33627,19957,7898
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",260,249,11,,,,,,
"Ocupantes presentes (008)",988,950,38,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",70,64,5,,,,,1,
"Ocupantes presentes (011)",281,261,14,,,,,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",68,42,1,4,3,,2,11,5
"Ocupantes presentes (014)",305,201,3,25,12,,4,41,19
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",43,,,1,6,5,30,,1
"Ocupantes presentes (017)",127,,,2,14,19,90,,2
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",72,26,4,4,8,2,2,23,3
"Ocupantes presentes (020)",286,120,19,19,21,11,4,85,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",37,19,,,4,3,1,4,6
"Ocupantes presentes (023)",106,50,,,14,5,1,13,23
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,,,,2,,2,1,1
"Ocupantes presentes (026)",12,,,,6,,2,1,3
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",57014,37577,2122,2272,2541,1726,3852,5036,1888
"Ocupantes presentes (029)",256988,177891,9457,9435,9543,7444,15586,19921,7711
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",56506,37177,2101,2264,2525,1722,3847,4996,1874
"Ocupantes presentes (032)",255020,176309,9383,9391,9491,7429,15577,19775,7665
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",260,249,11,,,,,,
"Ocupantes presentes (035)",988,950,38,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",70,64,5,,,,,1,
"Ocupantes presentes (038)",281,261,14,,,,,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",68,42,1,4,3,,2,11,5
"Ocupantes presentes (041)",305,201,3,25,12,,4,41,19
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",72,26,4,4,8,2,2,23,3
"Ocupantes presentes (047)",286,120,19,19,21,11,4,85,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",34,19,,,3,2,1,4,5
"Ocupantes presentes (050)",98,50,,,13,4,1,13,17
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,2,,,1,1
"Ocupantes presentes (053)",10,,,,6,,,1,3
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6925,474,72,368,262,1268,4370,48,63
"Ocupantes presentes (056)",28739,2018,297,1582,1010,5267,18142,182,241
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6877,474,72,367,255,1262,4338,48,61
"Ocupantes presentes (059)",28602,2018,297,1580,995,5247,18050,182,233
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",43,,,1,6,5,30,,1
"Ocupantes presentes (071)",127,,,2,14,19,90,,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,,,,1,1,,,1
"Ocupantes presentes (077)",8,,,,1,1,,,6
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,,,,,,2,,
"Ocupantes presentes (080)",2,,,,,,2,,
