"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SANCHEZ CARRION (000)",71182,11944,22877,17893,18468
"Asiste actualmente (001)",37827,1954,20046,12713,3114
"No asiste (002)",33355,9990,2831,5180,15354
"Hombres (004)",35367,6009,11547,8895,8916
"Asiste actualmente (005)",19750,970,10193,6859,1728
"No asiste (006)",15617,5039,1354,2036,7188
"Mujeres (008)",35815,5935,11330,8998,9552
"Asiste actualmente (009)",18077,984,9853,5854,1386
"No asiste (010)",17738,4951,1477,3144,8166
,,,,,
"URBANA (012)",18634,2630,5282,5077,5645
"Asiste actualmente (013)",12418,943,4990,4475,2010
"No asiste (014)",6216,1687,292,602,3635
"Hombres (016)",9161,1310,2643,2498,2710
"Asiste actualmente (017)",6166,457,2489,2246,974
"No asiste (018)",2995,853,154,252,1736
"Mujeres (020)",9473,1320,2639,2579,2935
"Asiste actualmente (021)",6252,486,2501,2229,1036
"No asiste (022)",3221,834,138,350,1899
,,,,,
"RURAL (024)",52548,9314,17595,12816,12823
"Asiste actualmente (025)",25409,1011,15056,8238,1104
"No asiste (026)",27139,8303,2539,4578,11719
"Hombres (028)",26206,4699,8904,6397,6206
"Asiste actualmente (029)",13584,513,7704,4613,754
"No asiste (030)",12622,4186,1200,1784,5452
"Mujeres (032)",26342,4615,8691,6419,6617
"Asiste actualmente (033)",11825,498,7352,3625,350
"No asiste (034)",14517,4117,1339,2794,6267
