"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUAYLAS (000)",25154,19024,6130
"De 3 a 5 años (001)",3812,130,3682
"De 6 a 11 años (002)",8026,6364,1662
"De 12 a 16 años (003)",6483,6252,231
"De 17 a 24 años (004)",6833,6278,555
"Hombres (005)",12722,9821,2901
"De 3 a 5 años (006)",1916,64,1852
"De 6 a 11 años (007)",4090,3258,832
"De 12 a 16 años (008)",3290,3201,89
"De 17 a 24 años (009)",3426,3298,128
"Mujeres (010)",12432,9203,3229
"De 3 a 5 años (011)",1896,66,1830
"De 6 a 11 años (012)",3936,3106,830
"De 12 a 16 años (013)",3193,3051,142
"De 17 a 24 años (014)",3407,2980,427
,,,
"URBANA (015)",7469,6241,1228
"De 3 a 5 años (016)",1016,56,960
"De 6 a 11 años (017)",2141,1950,191
"De 12 a 16 años (018)",1917,1900,17
"De 17 a 24 años (019)",2395,2335,60
"Hombres (020)",3793,3205,588
"De 3 a 5 años (021)",506,28,478
"De 6 a 11 años (022)",1120,1031,89
"De 12 a 16 años (023)",962,954,8
"De 17 a 24 años (024)",1205,1192,13
"Mujeres (025)",3676,3036,640
"De 3 a 5 años (026)",510,28,482
"De 6 a 11 años (027)",1021,919,102
"De 12 a 16 años (028)",955,946,9
"De 17 a 24 años (029)",1190,1143,47
,,,
"RURAL (030)",17685,12783,4902
"De 3 a 5 años (031)",2796,74,2722
"De 6 a 11 años (032)",5885,4414,1471
"De 12 a 16 años (033)",4566,4352,214
"De 17 a 24 años (034)",4438,3943,495
"Hombres (035)",8929,6616,2313
"De 3 a 5 años (036)",1410,36,1374
"De 6 a 11 años (037)",2970,2227,743
"De 12 a 16 años (038)",2328,2247,81
"De 17 a 24 años (039)",2221,2106,115
"Mujeres (040)",8756,6167,2589
"De 3 a 5 años (041)",1386,38,1348
"De 6 a 11 años (042)",2915,2187,728
"De 12 a 16 años (043)",2238,2105,133
"De 17 a 24 años (044)",2217,1837,380
