"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANCHIS (000)",1649,543,1106
"Sin nivel (001)",100,16,84
"Educación inicial (002)",2,1,1
"Primaria (003)",384,104,280
"Secundaria (004)",668,240,428
"Superior no univ. incompleta (005)",101,37,64
"Superior no univ. completa (006)",224,74,150
"Superior univ. incompleta (007)",65,28,37
"Superior univ. completa (008)",105,43,62
"De 14 a 29 años (010)",811,383,428
"Sin nivel (011)",14,3,11
"Educación inicial (012)",2,1,1
"Primaria (013)",108,55,53
"Secundaria (014)",400,195,205
"Superior no univ. incompleta (015)",64,26,38
"Superior no univ. completa (016)",125,52,73
"Superior univ. incompleta (017)",46,23,23
"Superior univ. completa (018)",52,28,24
"De 30 a 44 años (020)",554,146,408
"Sin nivel (021)",34,12,22
"Primaria (023)",152,44,108
"Secundaria (024)",191,42,149
"Superior no univ. incompleta (025)",29,10,19
"Superior no univ. completa (026)",89,19,70
"Superior univ. incompleta (027)",15,4,11
"Superior univ. completa (028)",44,15,29
"De 45 a 64 años (030)",234,14,220
"Sin nivel (031)",31,1,30
"Primaria (033)",102,5,97
"Secundaria (034)",72,3,69
"Superior no univ. incompleta (035)",8,1,7
"Superior no univ. completa (036)",9,3,6
"Superior univ. incompleta (037)",4,1,3
"Superior univ. completa (038)",8,,8
"De 65 y más años (040)",50,,50
"Sin nivel (041)",21,,21
"Primaria (043)",22,,22
"Secundaria (044)",5,,5
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",1272,430,842
"Sin nivel (051)",49,8,41
"Primaria (053)",265,80,185
"Secundaria (054)",513,181,332
"Superior no univ. incompleta (055)",87,32,55
"Superior no univ. completa (056)",201,64,137
"Superior univ. incompleta (057)",60,26,34
"Superior univ. completa (058)",97,39,58
"De 14 a 29 años (060)",620,298,322
"Sin nivel (061)",8,2,6
"Primaria (063)",70,41,29
"Secundaria (064)",291,142,149
"Superior no univ. incompleta (065)",54,22,32
"Superior no univ. completa (066)",107,43,64
"Superior univ. incompleta (067)",43,23,20
"Superior univ. completa (068)",47,25,22
"De 30 a 44 años (070)",447,121,326
"Sin nivel (071)",18,6,12
"Primaria (073)",107,36,71
"Secundaria (074)",158,36,122
"Superior no univ. incompleta (075)",26,9,17
"Superior no univ. completa (076)",84,18,66
"Superior univ. incompleta (077)",13,2,11
"Superior univ. completa (078)",41,14,27
"De 45 a 64 años (080)",169,11,158
"Sin nivel (081)",13,,13
"Primaria (083)",69,3,66
"Secundaria (084)",59,3,56
"Superior no univ. incompleta (085)",7,1,6
"Superior no univ. completa (086)",9,3,6
"Superior univ. incompleta (087)",4,1,3
"Superior univ. completa (088)",8,,8
"De 65 y más años (090)",36,,36
"Sin nivel (091)",10,,10
"Primaria (093)",19,,19
"Secundaria (094)",5,,5
"Superior no univ. completa (096)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",377,113,264
"Sin nivel (101)",51,8,43
"Educación inicial (102)",2,1,1
"Primaria (103)",119,24,95
"Secundaria (104)",155,59,96
"Superior no univ. incompleta (105)",14,5,9
"Superior no univ. completa (106)",23,10,13
"Superior univ. incompleta (107)",5,2,3
"Superior univ. completa (108)",8,4,4
"De 14 a 29 años (110)",191,85,106
"Sin nivel (111)",6,1,5
"Educación inicial (112)",2,1,1
"Primaria (113)",38,14,24
"Secundaria (114)",109,53,56
"Superior no univ. incompleta (115)",10,4,6
"Superior no univ. completa (116)",18,9,9
"Superior univ. incompleta (117)",3,,3
"Superior univ. completa (118)",5,3,2
"De 30 a 44 años (120)",107,25,82
"Sin nivel (121)",16,6,10
"Primaria (123)",45,8,37
"Secundaria (124)",33,6,27
"Superior no univ. incompleta (125)",3,1,2
"Superior no univ. completa (126)",5,1,4
"Superior univ. incompleta (127)",2,2,
"Superior univ. completa (128)",3,1,2
"De 45 a 64 años (130)",65,3,62
"Sin nivel (131)",18,1,17
"Primaria (133)",33,2,31
"Secundaria (134)",13,,13
"Superior no univ. incompleta (135)",1,,1
"De 65 y más años (140)",14,,14
"Sin nivel (141)",11,,11
"Primaria (143)",3,,3
