"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CANCHIS (000)",96937,1526,32909,23607,17844,13976,7075
"Hombres (001)",47071,788,16831,11461,8322,6686,2983
"Mujeres (002)",49866,738,16078,12146,9522,7290,4092
"Viviendas particulares (003)",96224,1521,32845,23330,17627,13854,7047
"Hombres (004)",46622,783,16801,11297,8169,6601,2971
"Mujeres (005)",49602,738,16044,12033,9458,7253,4076
"Viviendas colectivas (006)",464,3,52,161,150,76,22
"Hombres (007)",304,3,24,109,110,49,9
"Mujeres (008)",160,,28,52,40,27,13
"Otro tipo (009)",249,2,12,116,67,46,6
"Hombres (010)",145,2,6,55,43,36,3
"Mujeres (011)",104,,6,61,24,10,3
,,,,,,,
"URBANA (012)",58355,934,19715,15438,11431,7749,3088
"Hombres (013)",28410,487,10092,7467,5323,3756,1285
"Mujeres (014)",29945,447,9623,7971,6108,3993,1803
"Viviendas particulares (015)",57645,929,19651,15164,11214,7627,3060
"Hombres (016)",27963,482,10062,7305,5170,3671,1273
"Mujeres (017)",29682,447,9589,7859,6044,3956,1787
"Viviendas colectivas (018)",461,3,52,158,150,76,22
"Hombres (019)",302,3,24,107,110,49,9
"Mujeres (020)",159,,28,51,40,27,13
"Otro tipo (021)",249,2,12,116,67,46,6
"Hombres (022)",145,2,6,55,43,36,3
"Mujeres (023)",104,,6,61,24,10,3
,,,,,,,
"RURAL (024)",38582,592,13194,8169,6413,6227,3987
"Hombres (025)",18661,301,6739,3994,2999,2930,1698
"Mujeres (026)",19921,291,6455,4175,3414,3297,2289
"Viviendas particulares (027)",38579,592,13194,8166,6413,6227,3987
"Hombres (028)",18659,301,6739,3992,2999,2930,1698
"Mujeres (029)",19920,291,6455,4174,3414,3297,2289
"Viviendas colectivas (030)",3,,,3,,,
"Hombres (031)",2,,,2,,,
"Mujeres (032)",1,,,1,,,
