"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANGARAES (000)",10966,8743,732,507,984
"Empleado (001)",1456,429,368,262,397
"Obrero (002)",1878,952,167,180,579
"Trabajador independiente (003)",5281,5161,120,,
"Empleador o patrono (004)",101,84,10,5,2
"Trabajador familiar no remunerado (005)",2173,2040,67,60,6
"Trabajador del hogar (006)",77,77,,,
"De 06 a 14 años (008)",258,236,16,6,
"Empleado (009)",3,3,,,
"Obrero (010)",11,10,1,,
"Trabajador independiente (011)",21,21,,,
"Trabajador familiar no remunerado (013)",220,199,15,6,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",3191,2493,204,168,326
"Empleado (017)",395,154,85,47,109
"Obrero (018)",666,305,67,80,214
"Trabajador independiente (019)",1256,1229,27,,
"Empleador o patrono (020)",26,18,3,4,1
"Trabajador familiar no remunerado (021)",798,737,22,37,2
"Trabajador del hogar (022)",50,50,,,
"De 30 a 44 años (024)",3748,2753,336,215,444
"Empleado (025)",701,169,204,141,187
"Obrero (026)",694,324,52,63,255
"Trabajador independiente (027)",1774,1713,61,,
"Empleador o patrono (028)",31,26,3,1,1
"Trabajador familiar no remunerado (029)",532,505,16,10,1
"Trabajador del hogar (030)",16,16,,,
"De 45 a 64 años (032)",2918,2440,159,112,207
"Empleado (033)",334,88,74,73,99
"Obrero (034)",428,246,43,33,106
"Trabajador independiente (035)",1648,1621,27,,
"Empleador o patrono (036)",37,33,4,,
"Trabajador familiar no remunerado (037)",464,445,11,6,2
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",851,821,17,6,7
"Empleado (041)",23,15,5,1,2
"Obrero (042)",79,67,4,4,4
"Trabajador independiente (043)",582,577,5,,
"Empleador o patrono (044)",7,7,,,
"Trabajador familiar no remunerado (045)",159,154,3,1,1
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",4719,3335,460,352,572
"Empleado (049)",1188,302,309,240,337
"Obrero (050)",714,375,53,55,231
"Trabajador independiente (051)",1986,1930,56,,
"Empleador o patrono (052)",78,66,6,5,1
"Trabajador familiar no remunerado (053)",695,604,36,52,3
"Trabajador del hogar (054)",58,58,,,
"De 06 a 14 años (056)",150,131,13,6,
"Empleado (057)",3,3,,,
