"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PACHITEA (000)",55465,16342,1407,30286,6159,310,259,292,410
"Jefe o Jefa (001)",12888,3910,34,7408,1074,92,91,74,205
"Esposa(o)/ compa¤era(o) (002)",8761,3937,47,4075,529,27,52,23,71
"Hijo(a)/ hijastro(a) (003)",25359,6017,1082,14533,3290,134,73,144,86
"Yerno/ nuera (004)",554,82,4,326,115,11,4,7,5
"Nieto(a) (005)",2588,819,149,1396,211,3,2,7,1
"Padres/ suegros (006)",582,444,,131,7,,,,
"Otro(a) pariente (007)",3421,887,75,1779,586,24,27,21,22
"Trabajador(a) del hogar (008)",110,31,,57,22,,,,
"Pensionista (009)",8,,,1,6,,,,1
"Otro(a) no pariente (010)",1194,215,16,580,319,19,10,16,19
"Hombres (012)",27952,6248,687,16623,3679,175,134,178,228
"Jefe o Jefa (013)",9730,2278,21,6212,879,68,68,56,148
"Esposa(o)/ compa¤era(o) (014)",553,93,2,367,76,2,3,2,8
"Hijo(a)/ hijastro(a) (015)",13149,2801,546,7620,1939,72,38,86,47
"Yerno/ nuera (016)",270,20,1,163,66,7,4,5,4
"Nieto(a) (017)",1349,415,70,733,124,1,1,5,
"Padres/ suegros (018)",206,110,,93,3,,,,
"Otro(a) pariente (019)",1832,384,39,1003,355,12,13,13,13
"Trabajador(a) del hogar (020)",43,10,,23,10,,,,
"Pensionista (021)",3,,,,2,,,,1
"Otro(a) no pariente (022)",817,137,8,409,225,13,7,11,7
"Mujeres (024)",27513,10094,720,13663,2480,135,125,114,182
"Jefe o Jefa (025)",3158,1632,13,1196,195,24,23,18,57
"Esposa(o)/ compa¤era(o) (026)",8208,3844,45,3708,453,25,49,21,63
"Hijo(a)/ hijastro(a) (027)",12210,3216,536,6913,1351,62,35,58,39
"Yerno/ nuera (028)",284,62,3,163,49,4,,2,1
"Nieto(a) (029)",1239,404,79,663,87,2,1,2,1
"Padres/ suegros (030)",376,334,,38,4,,,,
"Otro(a) pariente (031)",1589,503,36,776,231,12,14,8,9
"Trabajador(a) del hogar (032)",67,21,,34,12,,,,
"Pensionista (033)",5,,,1,4,,,,
"Otro(a) no pariente (034)",377,78,8,171,94,6,3,5,12
,,,,,,,,,
"URBANA (036)",7768,1374,218,3512,1834,189,179,199,263
"Jefe o Jefa (037)",2066,333,5,984,438,67,62,63,114
"Esposa(o)/ compa¤era(o) (038)",1206,304,6,515,232,24,45,19,61
"Hijo(a)/ hijastro(a) (039)",3266,474,168,1475,882,72,48,87,60
"Yerno/ nuera (040)",78,4,1,28,27,3,4,6,5
"Nieto(a) (041)",340,98,24,168,43,2,1,3,1
"Padres/ suegros (042)",73,47,,25,1,,,,
"Otro(a) pariente (043)",532,81,12,227,160,14,15,11,12
"Trabajador(a) del hogar (044)",33,4,,17,12,,,,
"Pensionista (045)",1,,,,1,,,,
"Otro(a) no pariente (046)",173,29,2,73,38,7,4,10,10
"Hombres (048)",3834,479,114,1825,981,96,87,114,138
