"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAL (000)",65858,44339,7578,6212,7729
"Sin nivel (001)",2673,1938,413,217,105
"Educación inicial (002)",73,55,9,8,1
"Primaria (003)",15602,11803,1928,1204,667
"Secundaria (004)",30567,21829,3434,2619,2685
"Superior no univ. incompleta (005)",3871,2542,467,342,520
"Superior no univ. completa (006)",4726,2560,492,529,1145
"Superior univ. incompleta (007)",2911,1673,302,328,608
"Superior univ. completa (008)",5435,1939,533,965,1998
"De 06 a 14 años (010)",679,565,73,33,8
"Sin nivel (011)",10,7,1,1,1
"Educación inicial (012)",6,6,,,
"Primaria (013)",360,297,40,20,3
"Secundaria (014)",303,255,32,12,4
"De 15 a 29 años (020)",21628,13783,2998,2390,2457
"Sin nivel (021)",237,152,43,27,15
"Educación inicial (022)",36,28,3,4,1
"Primaria (023)",2683,1782,435,314,152
"Secundaria (024)",12892,8707,1754,1322,1109
"Superior no univ. incompleta (025)",1784,1139,249,165,231
"Superior no univ. completa (026)",1646,898,212,189,347
"Superior univ. incompleta (027)",1215,654,176,147,238
"Superior univ. completa (028)",1135,423,126,222,364
"De 30 a 44 años (030)",23860,15156,2757,2465,3482
"Sin nivel (031)",852,579,155,87,31
"Educación inicial (032)",31,21,6,4,
"Primaria (033)",4814,3303,744,497,270
"Secundaria (034)",10949,7821,1139,895,1094
"Superior no univ. incompleta (035)",1421,919,162,135,205
"Superior no univ. completa (036)",2175,1107,212,271,585
"Superior univ. incompleta (037)",1065,612,81,113,259
"Superior univ. completa (038)",2553,794,258,463,1038
"De 45 a 64 años (040)",16208,11767,1535,1229,1677
"Sin nivel (041)",1154,842,170,91,51
"Primaria (043)",5687,4556,595,327,209
"Secundaria (044)",5785,4491,470,373,451
"Superior no univ. incompleta (045)",605,434,54,41,76
"Superior no univ. completa (046)",820,484,65,64,207
"Superior univ. incompleta (047)",577,358,45,68,106
"Superior univ. completa (048)",1580,602,136,265,577
"De 65 y más años (050)",3483,3068,215,95,105
"Sin nivel (051)",420,358,44,11,7
"Primaria (053)",2058,1865,114,46,33
"Secundaria (054)",638,555,39,17,27
"Superior no univ. incompleta (055)",61,50,2,1,8
"Superior no univ. completa (056)",85,71,3,5,6
