"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia YAULI (000)",18726,4968,7602,5098,271,607,180
"Sin nivel (001)",350,20,94,182,8,35,11
"Educación inicial (002)",8,1,1,3,1,1,1
"Primaria (003)",2496,241,903,1074,51,179,48
"Secundaria (004)",8508,1423,4313,2320,108,255,89
"Superior no univ. incompleta (005)",1851,534,759,474,16,52,16
"Superior no univ. completa (006)",2329,937,834,494,24,34,6
"Superior univ. incompleta (007)",986,398,309,229,22,22,6
"Superior univ. completa (008)",2198,1414,389,322,41,29,3
"Hombres (010)",13786,3164,7167,3014,178,251,12
"Sin nivel (011)",82,3,47,24,3,5,
"Educación inicial (012)",2,,,1,,1,
"Primaria (013)",1513,118,771,524,31,66,3
"Secundaria (014)",6868,981,4153,1533,80,117,4
"Superior no univ. incompleta (015)",1414,357,725,294,7,28,3
"Superior no univ. completa (016)",1677,562,798,293,14,9,1
"Superior univ. incompleta (017)",741,264,303,151,12,10,1
"Superior univ. completa (018)",1489,879,370,194,31,15,
"Mujeres (020)",4940,1804,435,2084,93,356,168
"Sin nivel (021)",268,17,47,158,5,30,11
"Educación inicial (022)",6,1,1,2,1,,1
"Primaria (023)",983,123,132,550,20,113,45
"Secundaria (024)",1640,442,160,787,28,138,85
"Superior no univ. incompleta (025)",437,177,34,180,9,24,13
"Superior no univ. completa (026)",652,375,36,201,10,25,5
"Superior univ. incompleta (027)",245,134,6,78,10,12,5
"Superior univ. completa (028)",709,535,19,128,10,14,3
,,,,,,,
"URBANA (030)",16203,4604,6246,4517,246,416,174
"Sin nivel (031)",249,19,42,156,6,15,11
"Educación inicial (032)",8,1,1,3,1,1,1
"Primaria (033)",1789,222,574,816,36,96,45
"Secundaria (034)",7401,1302,3626,2107,101,178,87
"Superior no univ. incompleta (035)",1672,497,658,442,16,44,15
"Superior no univ. completa (036)",2122,873,723,463,24,33,6
"Superior univ. incompleta (037)",930,386,274,221,22,21,6
"Superior univ. completa (038)",2032,1304,348,309,40,28,3
"Hombres (040)",11758,2857,5973,2604,159,154,11
"Sin nivel (041)",55,3,29,20,2,1,
"Educación inicial (042)",2,,,1,,1,
"Primaria (043)",1030,103,520,352,20,32,3
"Secundaria (044)",5890,879,3510,1359,74,65,3
"Superior no univ. incompleta (045)",1259,328,629,269,7,23,3
"Superior no univ. completa (046)",1493,510,688,272,14,8,1
"Superior univ. incompleta (047)",691,254,268,146,12,10,1
"Superior univ. completa (048)",1338,780,329,185,30,14,
"Mujeres (050)",4445,1747,273,1913,87,262,163
"Sin nivel (051)",194,16,13,136,4,14,11
"Educación inicial (052)",6,1,1,2,1,,1
"Primaria (053)",759,119,54,464,16,64,42
"Secundaria (054)",1511,423,116,748,27,113,84
"Superior no univ. incompleta (055)",413,169,29,173,9,21,12
"Superior no univ. completa (056)",629,363,35,191,10,25,5
"Superior univ. incompleta (057)",239,132,6,75,10,11,5
"Superior univ. completa (058)",694,524,19,124,10,14,3
,,,,,,,
"RURAL (060)",2523,364,1356,581,25,191,6
"Sin nivel (061)",101,1,52,26,2,20,
"Primaria (063)",707,19,329,258,15,83,3
"Secundaria (064)",1107,121,687,213,7,77,2
"Superior no univ. incompleta (065)",179,37,101,32,,8,1
"Superior no univ. completa (066)",207,64,111,31,,1,
"Superior univ. incompleta (067)",56,12,35,8,,1,
"Superior univ. completa (068)",166,110,41,13,1,1,
"Hombres (070)",2028,307,1194,410,19,97,1
"Sin nivel (071)",27,,18,4,1,4,
"Primaria (073)",483,15,251,172,11,34,
"Secundaria (074)",978,102,643,174,6,52,1
"Superior no univ. incompleta (075)",155,29,96,25,,5,
"Superior no univ. completa (076)",184,52,110,21,,1,
"Superior univ. incompleta (077)",50,10,35,5,,,
"Superior univ. completa (078)",151,99,41,9,1,1,
"Mujeres (080)",495,57,162,171,6,94,5
"Sin nivel (081)",74,1,34,22,1,16,
"Primaria (083)",224,4,78,86,4,49,3
"Secundaria (084)",129,19,44,39,1,25,1
"Superior no univ. incompleta (085)",24,8,5,7,,3,1
"Superior no univ. completa (086)",23,12,1,10,,,
"Superior univ. incompleta (087)",6,2,,3,,1,
"Superior univ. completa (088)",15,11,,4,,,
