"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANTA (000)",86848,35521,4553,1591,45311
"Quechua (001)",58333,27081,1348,441,29496
"Aymara (002)",89,44,2,4,43
"Asháninka (003)",92,11,4,5,72
"Otra lengua nativa (004)",40,13,7,5,16
"Castellano (005)",28184,8339,3184,1134,15617
"Idioma Extranjero (006)",5,,,2,3
"Es Sordomudo/a (007)",105,33,8,,64
"Hombres (009)",43028,16633,2170,1003,23305
"Quechua (010)",28360,12453,692,225,15010
"Aymara (011)",41,17,1,1,23
"Asháninka (012)",52,6,2,5,39
"Otra lengua nativa (013)",17,4,4,3,7
"Castellano (014)",14513,4134,1468,769,8203
"Idioma Extranjero (015)",3,,,,3
"Es Sordomudo/a (016)",42,19,3,,20
"Mujeres (018)",43820,18888,2383,588,22006
"Quechua (019)",29973,14628,656,216,14486
"Aymara (020)",48,27,1,3,20
"Asháninka (021)",40,5,2,,33
"Otra lengua nativa (022)",23,9,3,2,9
"Castellano (023)",13671,4205,1716,365,7414
"Idioma Extranjero (024)",2,,,2,
"Es Sordomudo/a (025)",63,14,5,,44
,,,,,
"URBANA (027)",40178,10698,4009,1327,24238
"Quechua (028)",18209,5192,998,304,11729
"Aymara (029)",40,19,2,3,19
"Asháninka (030)",21,6,2,5,8
"Otra lengua nativa (031)",37,12,7,3,15
"Castellano (032)",21816,5459,2992,1010,12432
"Idioma Extranjero (033)",5,,,2,3
"Es Sordomudo/a (034)",50,10,8,,32
"Hombres (036)",19524,4915,1885,836,11950
"Quechua (037)",8447,2256,501,161,5538
"Aymara (038)",18,8,1,1,9
"Asháninka (039)",13,3,1,5,4
"Otra lengua nativa (040)",14,3,4,1,6
"Castellano (041)",11009,2639,1375,668,6379
"Idioma Extranjero (042)",3,,,,3
"Es Sordomudo/a (043)",20,6,3,,11
"Mujeres (045)",20654,5783,2124,491,12288
"Quechua (046)",9762,2936,497,143,6191
"Aymara (047)",22,11,1,2,10
"Asháninka (048)",8,3,1,,4
"Otra lengua nativa (049)",23,9,3,2,9
"Castellano (050)",10807,2820,1617,342,6053
"Idioma Extranjero (051)",2,,,2,
"Es Sordomudo/a (052)",30,4,5,,21
,,,,,
"RURAL (054)",46670,24823,544,264,21073
"Quechua (055)",40124,21889,350,137,17767
"Aymara (056)",49,25,,1,24
"Asháninka (057)",71,5,2,,64
"Otra lengua nativa (058)",3,1,,2,1
"Castellano (059)",6368,2880,192,124,3185
"Es Sordomudo/a (061)",55,23,,,32
"Hombres (063)",23504,11718,285,167,11355
"Quechua (064)",19913,10197,191,64,9472
"Aymara (065)",23,9,,,14
"Asháninka (066)",39,3,1,,35
"Otra lengua nativa (067)",3,1,,2,1
"Castellano (068)",3504,1495,93,101,1824
"Es Sordomudo/a (070)",22,13,,,9
"Mujeres (072)",23166,13105,259,97,9718
"Quechua (073)",20211,11692,159,73,8295
"Aymara (074)",26,16,,1,10
"Asháninka (075)",32,2,1,,29
"Castellano (077)",2864,1385,99,23,1361
"Es Sordomudo/a (079)",33,10,,,23
