"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",45384,7405,4587,596,32833
"Quechua (001)",4031,239,297,41,3456
"Aymara (002)",31,7,5,4,19
"Asháninka (003)",7,4,1,3,2
"Otra lengua nativa (004)",10,5,,,5
"Castellano (005)",41254,7145,4281,547,29309
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",50,5,3,1,41
"Hombres (009)",22774,3737,2376,340,16347
"Quechua (010)",1717,95,155,23,1445
"Aymara (011)",12,1,3,2,8
"Asháninka (012)",5,3,1,2,1
"Otra lengua nativa (013)",2,2,,,
"Castellano (014)",21012,3635,2216,313,14869
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",25,1,1,,23
"Mujeres (018)",22610,3668,2211,256,16486
"Quechua (019)",2314,144,142,18,2011
"Aymara (020)",19,6,2,2,11
"Asháninka (021)",2,1,,1,1
"Otra lengua nativa (022)",8,3,,,5
"Castellano (023)",20242,3510,2065,234,14440
"Es Sordomudo/a (025)",25,4,2,1,18
,,,,,
"URBANA (027)",26708,3742,3759,453,18773
"Quechua (028)",2775,164,234,35,2343
"Aymara (029)",20,4,4,3,12
"Asháninka (030)",1,,,,1
"Otra lengua nativa (031)",5,2,,,3
"Castellano (032)",23865,3567,3518,414,16381
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",41,5,3,1,32
"Hombres (036)",13253,1798,1922,260,9288
"Quechua (037)",1159,64,123,19,953
"Aymara (038)",8,1,2,2,5
"Castellano (041)",12065,1732,1796,239,8311
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",20,1,1,,18
"Mujeres (045)",13455,1944,1837,193,9485
"Quechua (046)",1616,100,111,16,1390
"Aymara (047)",12,3,2,1,7
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",5,2,,,3
"Castellano (050)",11800,1835,1722,175,8070
"Es Sordomudo/a (052)",21,4,2,1,14
,,,,,
"RURAL (054)",18676,3663,828,143,14060
"Quechua (055)",1256,75,63,6,1113
"Aymara (056)",11,3,1,1,7
"Asháninka (057)",6,4,1,3,1
"Otra lengua nativa (058)",5,3,,,2
"Castellano (059)",17389,3578,763,133,12928
"Es Sordomudo/a (061)",9,,,,9
"Hombres (063)",9521,1939,454,80,7059
"Quechua (064)",558,31,32,4,492
"Aymara (065)",4,,1,,3
"Asháninka (066)",5,3,1,2,1
"Otra lengua nativa (067)",2,2,,,
"Castellano (068)",8947,1903,420,74,6558
"Es Sordomudo/a (070)",5,,,,5
"Mujeres (072)",9155,1724,374,63,7001
"Quechua (073)",698,44,31,2,621
"Aymara (074)",7,3,,1,4
"Asháninka (075)",1,1,,1,
"Otra lengua nativa (076)",3,1,,,2
"Castellano (077)",8442,1675,343,59,6370
"Es Sordomudo/a (079)",4,,,,4
