"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHANCHAMAYO (000)",64233,54389,3817,2540,3487
"Hombres (001)",46748,39831,2868,1732,2317
"Mujeres (002)",17485,14558,949,808,1170
"De 06 a 14 años (003)",1471,1384,72,14,1
"Hombres (004)",1010,950,52,7,1
"Mujeres (005)",461,434,20,7,
"De 15 a 29 años (006)",23254,19714,1581,877,1082
"Hombres (007)",17039,14524,1196,618,701
"Mujeres (008)",6215,5190,385,259,381
"De 30 a 44 años (009)",22282,18157,1352,1146,1627
"Hombres (010)",15553,12832,970,718,1033
"Mujeres (011)",6729,5325,382,428,594
"De 45 a 64 años (012)",14126,12176,726,476,748
"Hombres (013)",10566,9070,575,363,558
"Mujeres (014)",3560,3106,151,113,190
"De 65 y más años (015)",3100,2958,86,27,29
"Hombres (016)",2580,2455,75,26,24
"Mujeres (017)",520,503,11,1,5
,,,,,
"URBANA (018)",35801,27858,2896,2078,2969
"Hombres (019)",23424,18100,2108,1320,1896
"Mujeres (020)",12377,9758,788,758,1073
"De 06 a 14 años (021)",606,553,41,12,
"Hombres (022)",385,350,29,6,
"Mujeres (023)",221,203,12,6,
"De 15 a 29 años (024)",12562,9828,1180,673,881
"Hombres (025)",8278,6443,860,433,542
"Mujeres (026)",4284,3385,320,240,339
"De 30 a 44 años (027)",13482,10073,1038,962,1409
"Hombres (028)",8428,6293,717,559,859
"Mujeres (029)",5054,3780,321,403,550
"De 45 a 64 años (030)",7926,6289,573,411,653
"Hombres (031)",5396,4173,447,303,473
"Mujeres (032)",2530,2116,126,108,180
"De 65 y más años (033)",1225,1115,64,20,26
"Hombres (034)",937,841,55,19,22
"Mujeres (035)",288,274,9,1,4
,,,,,
"RURAL (036)",28432,26531,921,462,518
"Hombres (037)",23324,21731,760,412,421
"Mujeres (038)",5108,4800,161,50,97
"De 06 a 14 años (039)",865,831,31,2,1
"Hombres (040)",625,600,23,1,1
"Mujeres (041)",240,231,8,1,
"De 15 a 29 años (042)",10692,9886,401,204,201
"Hombres (043)",8761,8081,336,185,159
"Mujeres (044)",1931,1805,65,19,42
"De 30 a 44 años (045)",8800,8084,314,184,218
"Hombres (046)",7125,6539,253,159,174
"Mujeres (047)",1675,1545,61,25,44
"De 45 a 64 años (048)",6200,5887,153,65,95
"Hombres (049)",5170,4897,128,60,85
"Mujeres (050)",1030,990,25,5,10
"De 65 y más años (051)",1875,1843,22,7,3
"Hombres (052)",1643,1614,20,7,2
"Mujeres (053)",232,229,2,,1
