"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia YUNGUYO (000)",20244,2692,6043,5430,6079
"Asiste actualmente (001)",13902,1006,5731,5048,2117
"No asiste (002)",6342,1686,312,382,3962
"Hombres (004)",10226,1321,3053,2713,3139
"Asiste actualmente (005)",7167,501,2900,2549,1217
"No asiste (006)",3059,820,153,164,1922
"Mujeres (008)",10018,1371,2990,2717,2940
"Asiste actualmente (009)",6735,505,2831,2499,900
"No asiste (010)",3283,866,159,218,2040
,,,,,
"URBANA (012)",7561,995,2206,2018,2342
"Asiste actualmente (013)",5426,441,2075,1910,1000
"No asiste (014)",2135,554,131,108,1342
"Hombres (016)",3769,493,1140,954,1182
"Asiste actualmente (017)",2747,218,1069,904,556
"No asiste (018)",1022,275,71,50,626
"Mujeres (020)",3792,502,1066,1064,1160
"Asiste actualmente (021)",2679,223,1006,1006,444
"No asiste (022)",1113,279,60,58,716
,,,,,
"RURAL (024)",12683,1697,3837,3412,3737
"Asiste actualmente (025)",8476,565,3656,3138,1117
"No asiste (026)",4207,1132,181,274,2620
"Hombres (028)",6457,828,1913,1759,1957
"Asiste actualmente (029)",4420,283,1831,1645,661
"No asiste (030)",2037,545,82,114,1296
"Mujeres (032)",6226,869,1924,1653,1780
"Asiste actualmente (033)",4056,282,1825,1493,456
"No asiste (034)",2170,587,99,160,1324
