"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN MARCOS (000)",44564,14436,2485,606,27076
"Hombres (001)",22318,6982,1264,358,13742
"Mujeres (002)",22246,7454,1221,248,13334
"PEA (003)",15297,2966,1165,260,10928
"Hombres (004)",12029,2157,696,196,8999
"Mujeres (005)",3268,809,469,64,1929
"Ocupada (006)",14442,2820,1148,254,10242
"Hombres (007)",11370,2050,685,191,8463
"Mujeres (008)",3072,770,463,63,1779
"Desocupada (009)",855,146,17,6,686
"Hombres (010)",659,107,11,5,536
"Mujeres (011)",196,39,6,1,150
"No PEA (012)",29267,11470,1320,346,16148
"Hombres (013)",10289,4825,568,162,4743
"Mujeres (014)",18978,6645,752,184,11405
,,,,,
"URBANA (018)",10411,1912,1829,370,6320
"Hombres (019)",5261,963,922,221,3170
"Mujeres (020)",5150,949,907,149,3150
"PEA (021)",4526,439,932,209,2962
"Hombres (022)",3034,292,524,152,2080
"Mujeres (023)",1492,147,408,57,882
"Ocupada (024)",4343,424,923,205,2807
"Hombres (025)",2902,283,519,149,1965
"Mujeres (026)",1441,141,404,56,842
"Desocupada (027)",183,15,9,4,155
"Hombres (028)",132,9,5,3,115
"Mujeres (029)",51,6,4,1,40
"No PEA (030)",5885,1473,897,161,3358
"Hombres (031)",2227,671,398,69,1090
"Mujeres (032)",3658,802,499,92,2268
,,,,,
"RURAL (036)",34153,12524,656,236,20756
"Hombres (037)",17057,6019,342,137,10572
"Mujeres (038)",17096,6505,314,99,10184
"PEA (039)",10771,2527,233,51,7966
"Hombres (040)",8995,1865,172,44,6919
"Mujeres (041)",1776,662,61,7,1047
"Ocupada (042)",10099,2396,225,49,7435
"Hombres (043)",8468,1767,166,42,6498
"Mujeres (044)",1631,629,59,7,937
"Desocupada (045)",672,131,8,2,531
"Hombres (046)",527,98,6,2,421
"Mujeres (047)",145,33,2,,110
"No PEA (048)",23382,9997,423,185,12790
"Hombres (049)",8062,4154,170,93,3653
"Mujeres (050)",15320,5843,253,92,9137
