"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PICOTA (000)",17563,8379,77,200,8160,282,26,36,1,402
"Hombres (001)",5994,4278,53,112,1142,129,24,23,1,232
"Mujeres (002)",11569,4101,24,88,7018,153,2,13,,170
"De 06 a 14 años (003)",7399,6833,,,286,142,,8,,130
"Hombres (004)",3702,3482,,,88,67,,7,,58
"Mujeres (005)",3697,3351,,,198,75,,1,,72
"De 15 a 29 años (006)",4744,1513,4,43,3073,,6,10,1,94
"Hombres (007)",1208,785,2,16,331,,6,6,1,61
"Mujeres (008)",3536,728,2,27,2742,,,4,,33
"De 30 a 44 años (009)",2521,24,9,42,2393,,9,5,,39
"Hombres (010)",351,7,5,26,278,,9,1,,25
"Mujeres (011)",2170,17,4,16,2115,,,4,,14
"De 45 a 64 años (012)",1773,7,26,61,1603,1,9,3,,63
"Hombres (013)",376,3,22,35,261,1,7,2,,45
"Mujeres (014)",1397,4,4,26,1342,,2,1,,18
"De 65 y más años (015)",1126,2,38,54,805,139,2,10,,76
"Hombres (016)",357,1,24,35,184,61,2,7,,43
"Mujeres (017)",769,1,14,19,621,78,,3,,33
,,,,,,,,,,
"AREA URBANA (018)",11160,5415,64,135,5073,166,21,18,1,267
"Hombres (019)",4040,2746,45,76,897,75,19,12,1,169
"Mujeres (020)",7120,2669,19,59,4176,91,2,6,,98
"De 06 a 14 años (021)",4468,4187,,,153,69,,2,,57
"Hombres (022)",2266,2138,,,64,32,,2,,30
"Mujeres (023)",2202,2049,,,89,37,,,,27
"De 15 a 29 años (024)",3059,1203,4,28,1746,,3,6,1,68
"Hombres (025)",904,600,2,10,238,,3,3,1,47
"Mujeres (026)",2155,603,2,18,1508,,,3,,21
"De 30 a 44 años (027)",1637,19,7,30,1539,,8,3,,31
"Hombres (028)",290,7,4,18,232,,8,1,,20
"Mujeres (029)",1347,12,3,12,1307,,,2,,11
"De 45 a 64 años (030)",1178,5,22,41,1044,1,9,1,,55
"Hombres (031)",311,1,19,26,216,1,7,1,,40
"Mujeres (032)",867,4,3,15,828,,2,,,15
"De 65 y más años (033)",818,1,31,36,591,96,1,6,,56
"Hombres (034)",269,,20,22,147,42,1,5,,32
"Mujeres (035)",549,1,11,14,444,54,,1,,24
,,,,,,,,,,
"AREA RURAL (036)",6403,2964,13,65,3087,116,5,18,,135
"Hombres (037)",1954,1532,8,36,245,54,5,11,,63
"Mujeres (038)",4449,1432,5,29,2842,62,,7,,72
"De 06 a 14 años (039)",2931,2646,,,133,73,,6,,73
"Hombres (040)",1436,1344,,,24,35,,5,,28
"Mujeres (041)",1495,1302,,,109,38,,1,,45
"De 15 a 29 años (042)",1685,310,,15,1327,,3,4,,26
"Hombres (043)",304,185,,6,93,,3,3,,14
"Mujeres (044)",1381,125,,9,1234,,,1,,12
"De 30 a 44 años (045)",884,5,2,12,854,,1,2,,8
"Hombres (046)",61,,1,8,46,,1,,,5
"Mujeres (047)",823,5,1,4,808,,,2,,3
"De 45 a 64 años (048)",595,2,4,20,559,,,2,,8
"Hombres (049)",65,2,3,9,45,,,1,,5
"Mujeres (050)",530,,1,11,514,,,1,,3
"De 65 y más años (051)",308,1,7,18,214,43,1,4,,20
"Hombres (052)",88,1,4,13,37,19,1,2,,11
"Mujeres (053)",220,,3,5,177,24,,2,,9
