"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SECHURA (000)",14059,9406,4653
"Red pública dentro de la vivienda (001)",9675,8142,1533
"Red pública fuera de la vivienda (002)",474,289,185
"Pilón de uso público (003)",948,83,865
"Camión - cisterna u otro similar (004)",259,32,227
"Pozo (005)",867,254,613
"Río, acequia, manatial o similar (006)",26,11,15
"Vecino (007)",1604,541,1063
"Otro (008)",206,54,152
,,,
"URBANA (010)",13190,9138,4052
"Red pública dentro de la vivienda (011)",9442,7950,1492
"Red pública fuera de la vivienda (012)",472,288,184
"Pilón de uso público (013)",916,75,841
"Camión - cisterna u otro similar (014)",29,8,21
"Pozo (015)",642,231,411
"Río, acequia, manatial o similar (016)",4,1,3
"Vecino (017)",1505,531,974
"Otro (018)",180,54,126
,,,
"RURAL (020)",869,268,601
"Red pública dentro de la vivienda (021)",233,192,41
"Red pública fuera de la vivienda (022)",2,1,1
"Pilón de uso público (023)",32,8,24
"Camión - cisterna u otro similar (024)",230,24,206
"Pozo (025)",225,23,202
"Río, acequia, manatial o similar (026)",22,10,12
"Vecino (027)",99,10,89
"Otro (028)",26,,26
