"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LAMPA (000)",12830,82,4066,4918,1512,452,184,56,4,,1556
"Catolica (001)",11115,70,3510,4275,1292,396,149,47,4,,1372
"Cristiana / Evangelica (002)",1209,9,383,471,152,42,23,7,,,122
"Otra (003)",380,3,113,133,59,12,9,2,,,49
"Ninguna (004)",126,,60,39,9,2,3,,,,13
,,,,,,,,,,,
"URBANA (006)",4902,33,1579,1799,563,183,81,26,2,,636
"Catolica (007)",4323,28,1388,1602,488,165,66,21,2,,563
"Cristiana / Evangelica (008)",394,3,129,143,48,13,11,4,,,43
"Otra (009)",144,2,37,44,24,5,4,1,,,27
"Ninguna (010)",41,,25,10,3,,,,,,3
,,,,,,,,,,,
"RURAL (012)",7928,49,2487,3119,949,269,103,30,2,,920
"Catolica (013)",6792,42,2122,2673,804,231,83,26,2,,809
"Cristiana / Evangelica (014)",815,6,254,328,104,29,12,3,,,79
"Otra (015)",236,1,76,89,35,7,5,1,,,22
"Ninguna (016)",85,,35,29,6,2,3,,,,10
