"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OCROS (000)",109,,52,32,19,6
"Conviviente (001)",25,,10,8,7,
"Separado(a) (002)",1,,,1,,
"Casado(a) (003)",18,,,6,6,6
"Viudo(a) (004)",1,,,,1,
"Soltero(a) (006)",64,,42,17,5,
"Hombres (008)",91,,41,27,17,6
"Conviviente (009)",23,,10,7,6,
"Casado(a) (011)",17,,,6,5,6
"Viudo(a) (012)",1,,,,1,
"Soltero(a) (014)",50,,31,14,5,
"Mujeres (016)",18,,11,5,2,
"Conviviente (017)",2,,,1,1,
"Separado(a) (018)",1,,,1,,
"Casado(a) (019)",1,,,,1,
"Soltero(a) (022)",14,,11,3,,
,,,,,,
"AREA URBANA (024)",60,,36,16,7,1
"Conviviente (025)",11,,8,1,2,
"Casado(a) (027)",11,,,5,5,1
"Soltero(a) (030)",38,,28,10,,
"Hombres (032)",49,,29,13,6,1
"Conviviente (033)",11,,8,1,2,
"Casado(a) (035)",10,,,5,4,1
"Soltero(a) (038)",28,,21,7,,
"Mujeres (040)",11,,7,3,1,
"Casado(a) (043)",1,,,,1,
"Soltero(a) (046)",10,,7,3,,
,,,,,,
"AREA RURAL (048)",49,,16,16,12,5
"Conviviente (049)",14,,2,7,5,
"Separado(a) (050)",1,,,1,,
"Casado(a) (051)",7,,,1,1,5
"Viudo(a) (052)",1,,,,1,
"Soltero(a) (054)",26,,14,7,5,
"Hombres (056)",42,,12,14,11,5
"Conviviente (057)",12,,2,6,4,
"Casado(a) (059)",7,,,1,1,5
"Viudo(a) (060)",1,,,,1,
"Soltero(a) (062)",22,,10,7,5,
"Mujeres (064)",7,,4,2,1,
"Conviviente (065)",2,,,1,1,
"Separado(a) (066)",1,,,1,,
"Soltero(a) (070)",4,,4,,,
