"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TAYACAJA (000)",25505,14791,10714
"Red pública de desague dentro de la vivienda (001)",1951,1764,187
"Red pública de desague fuera de la vivienda (002)",402,349,53
"Pozo séptico (003)",1166,791,375
"Pozo ciego o negro / letrina (004)",7157,4810,2347
"Río, acequia o canal (005)",635,458,177
"No tiene (006)",14194,6619,7575
,,,
"URBANA (008)",6179,4648,1531
"Red pública de desague dentro de la vivienda (009)",1773,1617,156
"Red pública de desague fuera de la vivienda (010)",352,316,36
"Pozo séptico (011)",316,243,73
"Pozo ciego o negro / letrina (012)",1364,1019,345
"Río, acequia o canal (013)",445,365,80
"No tiene (014)",1929,1088,841
,,,
"RURAL (016)",19326,10143,9183
"Red pública de desague dentro de la vivienda (017)",178,147,31
"Red pública de desague fuera de la vivienda (018)",50,33,17
"Pozo séptico (019)",850,548,302
"Pozo ciego o negro / letrina (020)",5793,3791,2002
"Río, acequia o canal (021)",190,93,97
"No tiene (022)",12265,5531,6734
