"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PASCO (000)",37383,277,12068,12778,4371,1389,621,183,28,,5668
"Conviviente (001)",12468,95,4339,4550,1510,389,152,39,7,,1387
"Separado(a) (002)",2365,26,844,845,317,101,46,10,3,,173
"Casado(a) (003)",14581,94,5023,5486,1885,649,287,83,10,,1064
"Viudo(a) (004)",3408,46,1305,1180,316,113,89,35,5,,319
"Divorciado(a) (005)",157,3,61,44,20,6,2,2,,,19
"Soltero(a) (006)",4404,13,496,673,323,131,45,14,3,,2706
,,,,,,,,,,,
"URBANA (008)",29150,209,9078,10000,3591,1121,524,140,20,,4467
"Conviviente (009)",9376,74,3058,3485,1221,312,129,28,4,,1065
"Separado(a) (010)",1841,17,647,663,271,73,37,8,1,,124
"Casado(a) (011)",11579,70,3900,4350,1567,527,247,62,9,,847
"Viudo(a) (012)",2651,35,1018,904,243,89,72,30,3,,257
"Divorciado(a) (013)",132,3,53,39,17,6,2,1,,,11
"Soltero(a) (014)",3571,10,402,559,272,114,37,11,3,,2163
,,,,,,,,,,,
"RURAL (016)",8233,68,2990,2778,780,268,97,43,8,,1201
"Conviviente (017)",3092,21,1281,1065,289,77,23,11,3,,322
"Separado(a) (018)",524,9,197,182,46,28,9,2,2,,49
"Casado(a) (019)",3002,24,1123,1136,318,122,40,21,1,,217
"Viudo(a) (020)",757,11,287,276,73,24,17,5,2,,62
"Divorciado(a) (021)",25,,8,5,3,,,1,,,8
"Soltero(a) (022)",833,3,94,114,51,17,8,3,,,543
