"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTA (000)",110988,1423,36527,34599,14748,6040,2670,702,103,,14176
"Catolica (001)",81087,975,25816,25228,11226,4695,2007,515,67,,10558
"Cristiana / Evangelica (002)",21595,328,7866,6795,2489,1008,513,146,29,,2421
"Otra (003)",4183,41,1255,1343,620,204,113,24,5,,578
"Ninguna (004)",4123,79,1590,1233,413,133,37,17,2,,619
,,,,,,,,,,,
"URBANA (006)",104536,1254,33478,32631,14251,5890,2592,685,98,,13657
"Catolica (007)",76260,849,23559,23754,10858,4576,1942,502,66,,10154
"Cristiana / Evangelica (008)",20335,292,7249,6415,2392,979,500,143,26,,2339
"Otra (009)",4068,40,1210,1297,605,204,113,24,5,,570
"Ninguna (010)",3873,73,1460,1165,396,131,37,16,1,,594
,,,,,,,,,,,
"RURAL (012)",6452,169,3049,1968,497,150,78,17,5,,519
"Catolica (013)",4827,126,2257,1474,368,119,65,13,1,,404
"Cristiana / Evangelica (014)",1260,36,617,380,97,29,13,3,3,,82
"Otra (015)",115,1,45,46,15,,,,,,8
"Ninguna (016)",250,6,130,68,17,2,,1,1,,25
