"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PATAZ (000)",78383,76010,1820,553
"Hombres (001)",41638,40668,678,292
"Mujeres (002)",36745,35342,1142,261
"Menores de 1 año (003)",2060,1641,316,103
"Hombres (004)",1099,876,165,58
"Mujeres (005)",961,765,151,45
"De 1 a 5 años (006)",10521,9768,393,360
"Hombres (007)",5405,5012,202,191
"Mujeres (008)",5116,4756,191,169
"De 6 a 14 años (009)",18674,18594,60,20
"Hombres (010)",9543,9506,27,10
"Mujeres (011)",9131,9088,33,10
"De 15 a 29 años (012)",19410,19310,82,18
"Hombres (013)",10748,10715,22,11
"Mujeres (014)",8662,8595,60,7
"De 30 a 44 años (015)",14149,14047,84,18
"Hombres (016)",7995,7951,33,11
"Mujeres (017)",6154,6096,51,7
"De 45 a 64 años (018)",9053,8779,263,11
"Hombres (019)",4723,4644,75,4
"Mujeres (020)",4330,4135,188,7
"De 65 a más años (021)",4516,3871,622,23
"Hombres (022)",2125,1964,154,7
"Mujeres (023)",2391,1907,468,16
,,,,
"URBANA (024)",20462,20107,257,98
"Hombres (025)",10823,10680,92,51
"Mujeres (026)",9639,9427,165,47
"Menores de 1 año (027)",437,367,46,24
"Hombres (028)",227,187,27,13
"Mujeres (029)",210,180,19,11
"De 1 a 5 años (030)",2299,2172,75,52
"Hombres (031)",1174,1116,32,26
"Mujeres (032)",1125,1056,43,26
"De 6 a 14 años (033)",4390,4381,6,3
"Hombres (034)",2203,2199,2,2
"Mujeres (035)",2187,2182,4,1
"De 15 a 29 años (036)",5720,5704,5,11
"Hombres (037)",3139,3130,1,8
"Mujeres (038)",2581,2574,4,3
"De 30 a 44 años (039)",4283,4271,10,2
"Hombres (040)",2393,2392,1,
"Mujeres (041)",1890,1879,9,2
"De 45 a 64 años (042)",2324,2298,24,2
"Hombres (043)",1226,1215,11,
"Mujeres (044)",1098,1083,13,2
"De 65 a más años (045)",1009,914,91,4
"Hombres (046)",461,441,18,2
"Mujeres (047)",548,473,73,2
,,,,
"RURAL (048)",57921,55903,1563,455
"Hombres (049)",30815,29988,586,241
"Mujeres (050)",27106,25915,977,214
"Menores de 1 año (051)",1623,1274,270,79
"Hombres (052)",872,689,138,45
"Mujeres (053)",751,585,132,34
"De 1 a 5 años (054)",8222,7596,318,308
"Hombres (055)",4231,3896,170,165
"Mujeres (056)",3991,3700,148,143
"De 6 a 14 años (057)",14284,14213,54,17
"Hombres (058)",7340,7307,25,8
"Mujeres (059)",6944,6906,29,9
"De 15 a 29 años (060)",13690,13606,77,7
"Hombres (061)",7609,7585,21,3
"Mujeres (062)",6081,6021,56,4
"De 30 a 44 años (063)",9866,9776,74,16
"Hombres (064)",5602,5559,32,11
"Mujeres (065)",4264,4217,42,5
"De 45 a 64 años (066)",6729,6481,239,9
"Hombres (067)",3497,3429,64,4
"Mujeres (068)",3232,3052,175,5
"De 65 a más años (069)",3507,2957,531,19
"Hombres (070)",1664,1523,136,5
"Mujeres (071)",1843,1434,395,14
