"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCAYO (000)",440937,39625,11846,121156,146205,23470,26980,28535,43120
"Quechua (001)",52904,11307,392,23830,12699,983,1179,775,1739
"Aymara (002)",286,40,2,93,92,10,21,9,19
"Ashaninca (003)",119,11,2,33,38,6,9,10,10
"Otra lengua nativa (004)",494,59,12,204,142,19,18,12,28
"Castellano (005)",386622,27911,11419,96919,133184,22440,25743,27722,41284
"Idioma extranjero (006)",84,3,1,7,24,4,5,5,35
"Es sordomudo/a (007)",428,294,18,70,26,8,5,2,5
"Hombres (009)",209737,13925,6002,54168,75407,11516,11507,15297,21915
"Quechua (010)",23202,1947,157,10152,7864,617,690,541,1234
"Aymara (011)",131,7,1,37,54,4,10,9,9
"Ashaninca (012)",54,1,1,18,15,3,5,7,4
"Otra lengua nativa (013)",219,11,7,85,75,8,6,7,20
"Castellano (014)",185873,11810,5828,43831,67372,10876,10793,14729,20634
"Idioma extranjero (015)",38,1,1,2,14,3,1,3,13
"Es sordomudo/a (016)",220,148,7,43,13,5,2,1,1
"Mujeres (018)",231200,25700,5844,66988,70798,11954,15473,13238,21205
"Quechua (019)",29702,9360,235,13678,4835,366,489,234,505
"Aymara (020)",155,33,1,56,38,6,11,,10
"Ashaninca (021)",65,10,1,15,23,3,4,3,6
"Otra lengua nativa (022)",275,48,5,119,67,11,12,5,8
"Castellano (023)",200749,16101,5591,53088,65812,11564,14950,12993,20650
"Idioma extranjero (024)",46,2,,5,10,1,4,2,22
"Es sordomudo/a (025)",208,146,11,27,13,3,3,1,4
,,,,,,,,,
"URBANA (027)",390029,31524,10444,99183,130718,22250,25987,27724,42199
"Quechua (028)",37970,7436,150,16339,9658,902,1086,732,1667
"Aymara (029)",270,34,2,87,90,10,21,9,17
"Ashaninca (030)",106,10,2,25,35,6,8,10,10
"Otra lengua nativa (031)",354,36,12,129,102,18,18,11,28
"Castellano (032)",350923,23793,10259,82540,120791,21303,24844,26955,40438
"Idioma extranjero (033)",84,3,1,7,24,4,5,5,35
"Es sordomudo/a (034)",322,212,18,56,18,7,5,2,4
"Hombres (036)",184931,11170,5337,43738,66586,10888,11006,14827,21379
"Quechua (037)",16170,922,46,6442,5873,569,627,511,1180
"Aymara (038)",125,6,1,33,54,4,10,9,8
"Ashaninca (039)",45,1,1,13,12,3,4,7,4
"Otra lengua nativa (040)",153,7,7,50,49,7,6,7,20
"Castellano (041)",168251,10138,5274,37167,60576,10298,10356,14289,20153
"Idioma extranjero (042)",38,1,1,2,14,3,1,3,13
"Es sordomudo/a (043)",149,95,7,31,8,4,2,1,1
"Mujeres (045)",205098,20354,5107,55445,64132,11362,14981,12897,20820
"Quechua (046)",21800,6514,104,9897,3785,333,459,221,487
"Aymara (047)",145,28,1,54,36,6,11,,9
"Ashaninca (048)",61,9,1,12,23,3,4,3,6
"Otra lengua nativa (049)",201,29,5,79,53,11,12,4,8
"Castellano (050)",182672,13655,4985,45373,60215,11005,14488,12666,20285
"Idioma extranjero (051)",46,2,,5,10,1,4,2,22
"Es sordomudo/a (052)",173,117,11,25,10,3,3,1,3
,,,,,,,,,
"RURAL (054)",50908,8101,1402,21973,15487,1220,993,811,921
"Quechua (055)",14934,3871,242,7491,3041,81,93,43,72
"Aymara (056)",16,6,,6,2,,,,2
"Ashaninca (057)",13,1,,8,3,,1,,
"Otra lengua nativa (058)",140,23,,75,40,1,,1,
"Castellano (059)",35699,4118,1160,14379,12393,1137,899,767,846
"Es sordomudo/a (061)",106,82,,14,8,1,,,1
"Hombres (063)",24806,2755,665,10430,8821,628,501,470,536
"Quechua (064)",7032,1025,111,3710,1991,48,63,30,54
"Aymara (065)",6,1,,4,,,,,1
"Ashaninca (066)",9,,,5,3,,1,,
"Otra lengua nativa (067)",66,4,,35,26,1,,,
"Castellano (068)",17622,1672,554,6664,6796,578,437,440,481
"Es sordomudo/a (070)",71,53,,12,5,1,,,
"Mujeres (072)",26102,5346,737,11543,6666,592,492,341,385
"Quechua (073)",7902,2846,131,3781,1050,33,30,13,18
"Aymara (074)",10,5,,2,2,,,,1
"Ashaninca (075)",4,1,,3,,,,,
"Otra lengua nativa (076)",74,19,,40,14,,,1,
"Castellano (077)",18077,2446,606,7715,5597,559,462,327,365
"Es sordomudo/a (079)",35,29,,2,3,,,,1
