"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMPA (000)",18504,17781,5674,2395,2232,1742,2601,1596,1003,538,723,48269
"De 12 a 14 años (001)",1686,1680,1668,9,3,,,,,,6,15
"De 15 a 19 años (002)",2432,2405,2141,226,33,5,,,,,27,307
"De 20 a 24 años (003)",2165,1921,860,705,267,71,17,1,,,244,1528
"De 25 a 29 años (004)",1870,1675,334,500,487,223,122,7,2,,195,2718
"De 30 a 34 años (005)",1569,1476,158,287,414,303,259,48,6,1,93,3512
"De 35 a 39 años (006)",1561,1508,113,193,305,300,421,137,36,3,53,4771
"De 40 a 44 años (007)",1329,1303,83,101,197,208,382,206,101,25,26,5230
"De 45 a 49 años (008)",1155,1140,59,86,138,160,292,224,134,47,15,5224
"De 50 y más años (009)",4737,4673,258,288,388,472,1108,973,724,462,64,24964
"PEA (010)",5440,5146,1083,815,811,593,886,500,297,161,294,15593
"De 12 a 14 años (011)",47,46,44,1,1,,,,,,1,3
"De 15 a 19 años (012)",404,397,339,53,4,1,,,,,7,64
"De 20 a 24 años (013)",688,601,288,201,83,24,5,,,,87,460
"De 25 a 29 años (014)",696,603,145,177,170,65,45,1,,,93,906
"De 30 a 34 años (015)",596,555,78,124,155,101,76,19,2,,41,1196
"De 35 a 39 años (016)",580,552,54,80,124,102,144,33,14,1,28,1602
"De 40 a 44 años (017)",509,498,28,47,78,89,149,72,29,6,11,1884
"De 45 a 49 años (018)",478,472,20,41,67,70,120,91,42,21,6,2090
"De 50 y más años (019)",1442,1422,87,91,129,141,347,284,210,133,20,7388
"Ocupada (020)",5000,4761,885,738,778,562,863,488,290,157,239,15079
"De 12 a 14 años (021)",43,43,41,1,1,,,,,,,3
"De 15 a 19 años (022)",321,316,262,49,4,1,,,,,5,60
