"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PURUS (000)",1928,1850,78
"Hombres (001)",1060,1021,39
"Mujeres (002)",868,829,39
"De 18 a 29 años (003)",796,750,46
"Hombres (004)",427,399,28
"Mujeres (005)",369,351,18
"De 30 a 44 años (006)",719,712,7
"Hombres (007)",405,402,3
"Mujeres (008)",314,310,4
"De 45 a 64 años (009)",330,318,12
"Hombres (010)",185,181,4
"Mujeres (011)",145,137,8
"De 65 y más años (012)",83,70,13
"Hombres (013)",43,39,4
"Mujeres (014)",40,31,9
,,,
"URBANA (015)",731,707,24
"Hombres (016)",428,413,15
"Mujeres (017)",303,294,9
"De 18 a 29 años (018)",296,274,22
"Hombres (019)",168,153,15
"Mujeres (020)",128,121,7
"De 30 a 44 años (021)",293,293,
"Hombres (022)",169,169,
"Mujeres (023)",124,124,
"De 45 a 64 años (024)",122,121,1
"Hombres (025)",79,79,
"Mujeres (026)",43,42,1
"De 65 y más años (027)",20,19,1
"Hombres (028)",12,12,
"Mujeres (029)",8,7,1
,,,
"RURAL (030)",1197,1143,54
"Hombres (031)",632,608,24
"Mujeres (032)",565,535,30
"De 18 a 29 años (033)",500,476,24
"Hombres (034)",259,246,13
"Mujeres (035)",241,230,11
"De 30 a 44 años (036)",426,419,7
"Hombres (037)",236,233,3
"Mujeres (038)",190,186,4
"De 45 a 64 años (039)",208,197,11
"Hombres (040)",106,102,4
"Mujeres (041)",102,95,7
"De 65 y más años (042)",63,51,12
"Hombres (043)",31,27,4
"Mujeres (044)",32,24,8
