"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARAÑON (000)",6389,94,2107,2247,1556,385
"Agric., ganadería, caza y silvicultura (001)",4842,84,1607,1572,1247,332
"Pesca (002)",1,,,,1,
"Industrias manufactureras (004)",55,,13,20,17,5
"Suministro de electricidad, gas y agua (005)",9,,,7,2,
"Construcción (006)",84,1,29,34,19,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",172,1,45,73,38,15
"Venta, mant.y rep. veh.autom.y motoc. (008)",5,,2,2,1,
"Comercio al por mayor (009)",9,,1,5,1,2
"Comercio al por menor (010)",158,1,42,66,36,13
"Hoteles y restaurantes (011)",38,,17,10,9,2
"Trans., almac. y comunicaciones (012)",37,,12,18,6,1
"Intermediación financiera (013)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (014)",31,,7,19,5,
"Admin.pub. y defensa; p. segur.soc afil (015)",117,,28,60,28,1
"Enseñanza (016)",409,,74,253,82,
"Servicios sociales y de salud (017)",67,,24,38,5,
"Otras activ. serv.comun.soc y personales (018)",9,,4,3,1,1
"Hogares privados con servicio doméstico (019)",87,1,60,14,7,5
"Actividad economica no especificada (021)",220,1,72,66,63,18
"Desocupado (022)",209,6,115,59,25,4
"Hombres (023)",5467,73,1765,1919,1373,337
"Agric., ganadería, caza y silvicultura (024)",4428,68,1455,1459,1150,296
"Pesca (025)",1,,,,1,
"Industrias manufactureras (027)",51,,10,19,17,5
"Suministro de electricidad, gas y agua (028)",9,,,7,2,
"Construcción (029)",84,1,29,34,19,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",108,,26,41,27,14
"Venta, mant.y rep. veh.autom.y motoc. (031)",4,,2,1,1,
"Comercio al por mayor (032)",6,,1,3,1,1
"Comercio al por menor (033)",98,,23,37,25,13
"Hoteles y restaurantes (034)",10,,5,2,3,
"Trans., almac. y comunicaciones (035)",36,,11,18,6,1
"Intermediación financiera (036)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (037)",28,,4,19,5,
"Admin.pub. y defensa; p. segur.soc afil (038)",94,,22,46,25,1
"Enseñanza (039)",241,,40,146,55,
"Servicios sociales y de salud (040)",36,,13,22,1,
"Otras activ. serv.comun.soc y personales (041)",6,,3,1,1,1
"Hogares privados con servicio doméstico (042)",38,,24,11,2,1
"Actividad economica no especificada (044)",128,1,39,41,34,13
"Desocupado (045)",167,3,84,52,24,4
