"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia MARISCAL LUZURIAGA",,,,,,
"Viviendas particulares (001)",5380,5322,54,2,2,
"Ocupantes presentes (002)",23182,22663,457,34,28,
"Casa independiente",,,,,,
"Viviendas particulares (004)",5332,5274,54,2,2,
"Ocupantes presentes (005)",22993,22474,457,34,28,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",46,46,,,,
"Ocupantes presentes (017)",181,181,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",2,2,,,,
"Ocupantes presentes (023)",8,8,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",689,657,29,1,2,
"Ocupantes presentes (029)",2761,2486,233,14,28,
"Casa independiente",,,,,,
"Viviendas particulares (031)",688,656,29,1,2,
"Ocupantes presentes (032)",2758,2483,233,14,28,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",1,1,,,,
"Ocupantes presentes (050)",3,3,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",4691,4665,25,1,,
"Ocupantes presentes (056)",20421,20177,224,20,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",4644,4618,25,1,,
"Ocupantes presentes (059)",20235,19991,224,20,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",46,46,,,,
"Ocupantes presentes (071)",181,181,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",5,5,,,,
"Otro tipo",,,,,,
