"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONDESUYOS (000)",4687,61,1657,1613,507,184,83,28,6,,548
"Catolica (001)",4212,54,1475,1462,459,165,78,24,5,,490
"Cristiana / Evangelica (002)",253,4,83,92,26,11,4,2,1,,30
"Otra (003)",179,2,80,54,16,5,,2,,,20
"Ninguna (004)",43,1,19,5,6,3,1,,,,8
,,,,,,,,,,,
"URBANA (006)",2068,21,666,714,256,105,52,16,4,,234
"Catolica (007)",1871,18,590,650,239,94,50,13,3,,214
"Cristiana / Evangelica (008)",114,2,39,38,7,8,1,2,1,,16
"Otra (009)",64,1,30,21,6,3,,1,,,2
"Ninguna (010)",19,,7,5,4,,1,,,,2
,,,,,,,,,,,
"RURAL (012)",2619,40,991,899,251,79,31,12,2,,314
"Catolica (013)",2341,36,885,812,220,71,28,11,2,,276
"Cristiana / Evangelica (014)",139,2,44,54,19,3,3,,,,14
"Otra (015)",115,1,50,33,10,2,,1,,,18
"Ninguna (016)",24,1,12,,2,3,,,,,6
