"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",6925,82,2905,2340,713,218,119,25,5,,518
"Catolica (001)",5324,63,2129,1832,607,192,100,20,5,,376
"Cristiana / Evangelica (002)",767,8,345,263,64,16,8,3,,,60
"Otra (003)",715,10,367,219,36,10,9,,,,64
"Ninguna (004)",119,1,64,26,6,,2,2,,,18
,,,,,,,,,,,
"URBANA (006)",2421,17,879,867,315,98,63,10,3,,169
"Catolica (007)",2076,16,739,746,277,89,55,8,3,,143
"Cristiana / Evangelica (008)",173,,62,69,21,6,5,2,,,8
"Otra (009)",143,1,65,45,13,3,1,,,,15
"Ninguna (010)",29,,13,7,4,,2,,,,3
,,,,,,,,,,,
"RURAL (012)",4504,65,2026,1473,398,120,56,15,2,,349
"Catolica (013)",3248,47,1390,1086,330,103,45,12,2,,233
"Cristiana / Evangelica (014)",594,8,283,194,43,10,3,1,,,52
"Otra (015)",572,9,302,174,23,7,8,,,,49
"Ninguna (016)",90,1,51,19,2,,,2,,,15
