"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA UNION (000)",5843,4733,651,252,207
"Sin nivel (001)",1019,923,87,3,6
"Educación inicial (002)",9,9,,,
"Primaria (003)",2073,1792,255,16,10
"Secundaria (004)",1512,1265,191,23,33
"Superior no univ. incompleta (005)",202,163,17,6,16
"Superior no univ. completa (006)",438,272,41,73,52
"Superior univ. incompleta (007)",121,85,11,8,17
"Superior univ. completa (008)",469,224,49,123,73
"De 06 a 14 años (010)",260,239,19,2,
"Sin nivel (011)",22,21,1,,
"Educación inicial (012)",5,5,,,
"Primaria (013)",169,152,15,2,
"Secundaria (014)",64,61,3,,
"De 15 a 29 años (020)",1361,1108,158,47,48
"Sin nivel (021)",78,72,4,,2
"Educación inicial (022)",1,1,,,
"Primaria (023)",353,308,41,2,2
"Secundaria (024)",618,519,82,11,6
"Superior no univ. incompleta (025)",82,69,5,1,7
"Superior no univ. completa (026)",119,77,15,13,14
"Superior univ. incompleta (027)",38,25,4,3,6
"Superior univ. completa (028)",72,37,7,17,11
"De 30 a 44 años (030)",2015,1515,242,140,118
"Sin nivel (031)",311,280,27,2,2
"Educación inicial (032)",3,3,,,
"Primaria (033)",602,502,90,6,4
"Secundaria (034)",481,390,67,5,19
"Superior no univ. incompleta (035)",74,59,6,2,7
"Superior no univ. completa (036)",224,126,20,44,34
"Superior univ. incompleta (037)",50,35,5,3,7
"Superior univ. completa (038)",270,120,27,78,45
"De 45 a 64 años (040)",1564,1290,176,62,36
"Sin nivel (041)",368,332,34,,2
"Primaria (043)",628,542,78,6,2
"Secundaria (044)",304,255,36,7,6
"Superior no univ. incompleta (045)",41,31,5,3,2
"Superior no univ. completa (046)",79,53,6,16,4
"Superior univ. incompleta (047)",28,21,2,2,3
"Superior univ. completa (048)",116,56,15,28,17
"De 65 y más años (050)",643,581,56,1,5
"Sin nivel (051)",240,218,21,1,
"Primaria (053)",321,288,31,,2
"Secundaria (054)",45,40,3,,2
"Superior no univ. incompleta (055)",5,4,1,,
"Superior no univ. completa (056)",16,16,,,
"Superior univ. incompleta (057)",5,4,,,1
"Superior univ. completa (058)",11,11,,,
,,,,,
"URBANA (060)",2924,2216,317,216,175
"Sin nivel (061)",328,289,34,1,4
