"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUALLAGA (000)",22807,9373,2176,417,10867
"Quechua (001)",31,10,4,,17
"Aymara (002)",3,2,,2,1
"Asháninka (003)",1,1,,1,
"Otra lengua nativa (004)",2,,,,2
"Castellano (005)",22733,9346,2172,413,10825
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",36,14,,1,21
"Hombres (009)",12114,4733,1073,224,6094
"Quechua (010)",14,3,1,,10
"Aymara (011)",2,1,,1,1
"Otra lengua nativa (013)",2,,,,2
"Castellano (014)",12073,4719,1072,223,6068
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",22,10,,,12
"Mujeres (018)",10693,4640,1103,193,4773
"Quechua (019)",17,7,3,,7
"Aymara (020)",1,1,,1,
"Asháninka (021)",1,1,,1,
"Castellano (023)",10660,4627,1100,190,4757
"Es Sordomudo/a (025)",14,4,,1,9
,,,,,
"URBANA (027)",12604,5085,1900,352,5284
"Quechua (028)",15,4,3,,8
"Aymara (029)",1,1,,1,
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",12568,5072,1897,350,5265
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",18,8,,1,9
"Hombres (036)",6461,2530,917,186,2835
"Quechua (037)",9,1,1,,7
"Aymara (038)",1,1,,1,
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",6436,2521,916,185,2820
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",13,7,,,6
"Mujeres (045)",6143,2555,983,166,2449
"Quechua (046)",6,3,2,,1
"Castellano (050)",6132,2551,981,165,2445
"Es Sordomudo/a (052)",5,1,,1,3
,,,,,
"RURAL (054)",10203,4288,276,65,5583
"Quechua (055)",16,6,1,,9
"Aymara (056)",2,1,,1,1
"Asháninka (057)",1,1,,1,
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",10165,4274,275,63,5560
"Es Sordomudo/a (061)",18,6,,,12
"Hombres (063)",5653,2203,156,38,3259
"Quechua (064)",5,2,,,3
"Aymara (065)",1,,,,1
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",5637,2198,156,38,3248
"Es Sordomudo/a (070)",9,3,,,6
"Mujeres (072)",4550,2085,120,27,2324
"Quechua (073)",11,4,1,,6
"Aymara (074)",1,1,,1,
"Asháninka (075)",1,1,,1,
"Castellano (077)",4528,2076,119,25,2312
"Es Sordomudo/a (079)",9,3,,,6
