"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTA (000)",16657,13191,2050,675,741
"Agric., ganadería, caza y silvicultura (001)",9741,8430,1237,57,17
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",21,6,6,6,3
"Industrias manufactureras (004)",574,423,100,25,26
"Suministro de electricidad, gas y agua (005)",32,7,5,17,3
"Construcción (006)",1069,504,303,202,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1672,1584,59,18,11
"Venta, mant.y rep. veh.autom y motoc. (008)",202,175,15,2,10
"Comercio al por mayor (009)",64,58,2,3,1
"Comercio al por menor (010)",1406,1351,42,13,
"Hoteles y restaurantes (011)",581,522,36,21,2
"Trans., almac. y comunicaciones (012)",823,672,78,48,25
"Intermediación financiera (013)",6,4,,1,1
"Activid.inmobil., empres. y alquileres (014)",195,108,28,31,28
"Admin.pub. y defensa; p. segur soc.afil (015)",452,,,,452
"Enseñanza (016)",521,177,125,192,27
"Servicios sociales y de salud (017)",122,36,10,12,64
"Otras activ. serv.comun.soc y personales (018)",178,120,21,24,13
"Hogares privados con servicio doméstico (019)",186,186,,,
"Actividad economica no especificada (021)",482,410,42,21,9
"Hombres (022)",12217,9463,1667,526,561
"Agric., ganadería, caza y silvicultura (023)",8075,6974,1040,48,13
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",20,6,5,6,3
"Industrias manufactureras (026)",434,316,75,19,24
"Suministro de electricidad, gas y agua (027)",31,7,5,17,2
"Construcción (028)",1053,496,301,196,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",656,604,28,13,11
"Venta, mant.y rep. veh.autom y motoc. (030)",188,163,13,2,10
"Comercio al por mayor (031)",32,28,,3,1
"Comercio al por menor (032)",436,413,15,8,
"Hoteles y restaurantes (033)",100,73,13,13,1
"Trans., almac. y comunicaciones (034)",769,630,72,44,23
"Intermediación financiera (035)",2,1,,,1
"Activid.inmobil., empres. y alquileres (036)",154,82,21,28,23
"Admin.pub. y defensa; p. segur soc.afil (037)",354,,,,354
"Enseñanza (038)",254,63,71,108,12
"Servicios sociales y de salud (039)",45,20,2,3,20
"Otras activ. serv.comun.soc y personales (040)",98,61,13,15,9
"Hogares privados con servicio doméstico (041)",36,36,,,
"Actividad economica no especificada (043)",135,93,21,16,5
