"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",4270,41,1224,1392,1173,440
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",18,,3,8,6,1
"Profes., científicos e intelectuales (002)",210,,70,120,19,1
"Técnicos de nivel medio y trab.asimilados (003)",37,,14,18,5,
"Jefes y empleados de oficina (004)",74,,28,31,12,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",161,1,52,66,34,8
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1546,1,269,454,547,275
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",116,,35,33,41,7
"Obreros construc., conf., papel, fab., instr. (008)",204,1,65,94,43,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1588,35,573,465,393,122
"Otra (010)",13,,2,6,5,
"Ocupación no especificada (011)",96,,30,32,20,14
"Desocupado (012)",207,3,83,65,48,8
"Hombres (013)",2720,22,797,876,744,281
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",15,,3,6,5,1
"Profes., científicos e intelectuales (015)",80,,16,49,14,1
"Técnicos de nivel medio y trab.asimilados (016)",27,,8,14,5,
"Jefes y empleados de oficina (017)",53,,15,24,11,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",63,1,21,24,14,3
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1114,1,178,327,404,204
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",58,,22,19,13,4
"Obreros construc., conf., papel, fab., instr. (021)",192,,62,89,40,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",892,17,387,249,186,53
"Otra (023)",13,,2,6,5,
"Ocupación no especificada (024)",43,,15,17,7,4
"Desocupado (025)",170,3,68,52,40,7
"Mujeres (026)",1550,19,427,516,429,159
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,2,1,
"Profes., científicos e intelectuales (028)",130,,54,71,5,
"Técnicos de nivel medio y trab.asimilados (029)",10,,6,4,,
"Jefes y empleados de oficina (030)",21,,13,7,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",98,,31,42,20,5
"Agricult.trabaj. calif. agrop. y pesqueros (032)",432,,91,127,143,71
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",58,,13,14,28,3
"Obreros construc., conf., papel, fab., instr. (034)",12,1,3,5,3,
