"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GRAU (000)",23108,5182,726,9330,5949,491,847,251,332
"Jefe o Jefa (001)",7031,1550,4,2548,1875,247,482,102,223
"Esposa(o)/ compa¤era(o) (002)",4295,1500,11,1473,980,74,189,30,38
"Hijo(a)/ hijastro(a) (003)",9597,1568,614,4545,2523,117,111,87,32
"Yerno/ nuera (004)",184,7,,44,100,8,14,4,7
"Nieto(a) (005)",653,158,67,299,120,,5,2,2
"Padres/ suegros (006)",276,207,,63,5,,1,,
"Otro(a) pariente (007)",784,160,29,284,239,23,25,14,10
"Trabajador(a) del hogar (008)",38,4,,18,16,,,,
"Pensionista (009)",1,,,,1,,,,
"Otro(a) no pariente (010)",249,28,1,56,90,22,20,12,20
"Hombres (012)",11720,1669,391,4966,3502,299,510,156,227
"Jefe o Jefa (013)",5174,632,3,2117,1563,195,400,86,178
"Esposa(o)/ compa¤era(o) (014)",220,37,1,76,73,7,16,5,5
"Hijo(a)/ hijastro(a) (015)",5192,801,331,2367,1506,64,55,49,19
"Yerno/ nuera (016)",81,2,,13,47,3,10,1,5
"Nieto(a) (017)",358,76,39,161,77,,2,2,1
"Padres/ suegros (018)",75,34,,37,4,,,,
"Otro(a) pariente (019)",432,71,16,149,159,14,12,5,6
"Trabajador(a) del hogar (020)",11,,,5,6,,,,
"Pensionista (021)",1,,,,1,,,,
"Otro(a) no pariente (022)",176,16,1,41,66,16,15,8,13
"Mujeres (024)",11388,3513,335,4364,2447,192,337,95,105
"Jefe o Jefa (025)",1857,918,1,431,312,52,82,16,45
"Esposa(o)/ compa¤era(o) (026)",4075,1463,10,1397,907,67,173,25,33
"Hijo(a)/ hijastro(a) (027)",4405,767,283,2178,1017,53,56,38,13
"Yerno/ nuera (028)",103,5,,31,53,5,4,3,2
"Nieto(a) (029)",295,82,28,138,43,,3,,1
"Padres/ suegros (030)",201,173,,26,1,,1,,
"Otro(a) pariente (031)",352,89,13,135,80,9,13,9,4
"Trabajador(a) del hogar (032)",27,4,,13,10,,,,
"Otro(a) no pariente (034)",73,12,,15,24,6,5,4,7
,,,,,,,,,
"URBANA (036)",9201,1468,314,3147,2789,360,681,185,257
"Jefe o Jefa (037)",2862,362,2,802,894,180,379,76,167
"Esposa(o)/ compa¤era(o) (038)",1634,327,3,480,543,60,168,22,31
"Hijo(a)/ hijastro(a) (039)",3736,580,270,1578,1060,75,86,60,27
"Yerno/ nuera (040)",62,1,,4,28,6,12,4,7
"Nieto(a) (041)",233,57,29,90,50,,3,2,2
"Padres/ suegros (042)",119,74,,40,4,,1,,
"Otro(a) pariente (043)",355,46,10,112,129,19,21,11,7
"Trabajador(a) del hogar (044)",33,3,,14,16,,,,
"Otro(a) no pariente (046)",167,18,,27,65,20,11,10,16
"Hombres (048)",4547,449,174,1549,1508,198,393,106,170
"Jefe o Jefa (049)",2037,95,2,604,694,133,316,61,132
"Esposa(o)/ compa¤era(o) (050)",71,1,1,22,25,5,12,2,3
