"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMPA (000)",13785,10563,924,669,1629
"Empleado (001)",1571,310,261,288,712
"Obrero (002)",2503,925,295,374,909
"Trabajador independiente (003)",6946,6703,243,,
"Empleador o patrono (004)",105,85,15,,5
"Trabajador familiar no remunerado (005)",2522,2402,110,7,3
"Trabajador del hogar (006)",138,138,,,
"De 06 a 14 años (008)",125,107,15,1,2
"Empleado (009)",7,6,1,,
"Obrero (010)",12,9,2,,1
"Trabajador independiente (011)",22,20,2,,
"Trabajador familiar no remunerado (013)",77,65,10,1,1
"Trabajador del hogar (014)",7,7,,,
"De 15 a 29 años (016)",3998,2897,313,191,597
"Empleado (017)",368,99,62,32,175
"Obrero (018)",1062,362,127,154,419
"Trabajador independiente (019)",1536,1462,74,,
"Empleador o patrono (020)",35,29,4,,2
"Trabajador familiar no remunerado (021)",910,858,46,5,1
"Trabajador del hogar (022)",87,87,,,
"De 30 a 44 años (024)",4649,3267,345,324,713
"Empleado (025)",693,116,118,151,308
"Obrero (026)",1004,310,117,173,404
"Trabajador independiente (027)",2267,2188,79,,
"Empleador o patrono (028)",27,23,3,,1
"Trabajador familiar no remunerado (029)",637,609,28,,
"Trabajador del hogar (030)",21,21,,,
"De 45 a 64 años (032)",3817,3138,226,152,301
"Empleado (033)",477,79,77,105,216
"Obrero (034)",378,201,48,46,83
"Trabajador independiente (035)",2268,2196,72,,
"Empleador o patrono (036)",32,23,7,,2
"Trabajador familiar no remunerado (037)",645,622,22,1,
"Trabajador del hogar (038)",17,17,,,
"De 65 y más años (040)",1196,1154,25,1,16
"Empleado (041)",26,10,3,,13
"Obrero (042)",47,43,1,1,2
"Trabajador independiente (043)",853,837,16,,
"Empleador o patrono (044)",11,10,1,,
"Trabajador familiar no remunerado (045)",253,248,4,,1
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",4817,3226,434,417,740
"Empleado (049)",1173,219,162,250,542
"Obrero (050)",921,411,152,164,194
"Trabajador independiente (051)",2201,2105,96,,
"Empleador o patrono (052)",44,32,9,,3
"Trabajador familiar no remunerado (053)",408,389,15,3,1
"Trabajador del hogar (054)",70,70,,,
"De 06 a 14 años (056)",51,45,5,1,
"Empleado (057)",7,6,1,,
