"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JAUJA (000)",91508,1519,28339,22113,15908,14552,9077
"Jefe o Jefa (001)",24014,,39,2415,7068,8520,5972
"Esposa(o) / compañera(o) (002)",13430,,26,2318,4925,4410,1751
"Hijo(a) / hijastro(a) (003)",40101,903,21835,13843,2803,701,16
"Yerno / nuera (004)",1311,,6,824,418,61,2
"Nieto(a) (005)",6527,526,4785,1148,64,4,
"Padres / suegros (006)",1197,,,3,13,215,966
"Otro(a) pariente (007)",4120,83,1505,1250,464,514,304
"Trabajador(a) del hogar (008)",52,,5,25,10,7,5
"Pensionistas (009)",15,,,10,,3,2
"Otro(a) no pariente (010)",741,7,138,277,143,117,59
"Hombres (011)",43887,739,14479,10813,7097,6616,4143
"Jefe o Jefa (012)",15959,,20,1760,4981,5587,3611
"Esposa(o) / compañera(o) (013)",820,,20,181,260,240,119
"Hijo(a) / hijastro(a) (014)",20259,441,11089,7109,1284,327,9
"Yerno / nuera (015)",579,,2,315,217,43,2
"Nieto(a) (016)",3447,258,2516,629,42,2,
"Padres / suegros (017)",304,,,2,3,62,237
"Otro(a) pariente (018)",2114,35,759,670,232,280,138
"Trabajador(a) del hogar (019)",15,,2,4,2,4,3
"Pensionistas (020)",11,,,8,,2,1
"Otro(a) no pariente (021)",379,5,71,135,76,69,23
"Mujeres (022)",47621,780,13860,11300,8811,7936,4934
"Jefe o Jefa (023)",8055,,19,655,2087,2933,2361
"Esposa(o) / compañera(o) (024)",12610,,6,2137,4665,4170,1632
"Hijo(a) / hijastro(a) (025)",19842,462,10746,6734,1519,374,7
"Yerno / nuera (026)",732,,4,509,201,18,
"Nieto(a) (027)",3080,268,2269,519,22,2,
"Padres / suegros (028)",893,,,1,10,153,729
"Otro(a) pariente (029)",2006,48,746,580,232,234,166
"Trabajador(a) del hogar (030)",37,,3,21,8,3,2
"Pensionistas (031)",4,,,2,,1,1
"Otro(a) no pariente (032)",362,2,67,142,67,48,36
,,,,,,,
"URBANA (033)",63443,992,18632,15665,11338,10284,6532
"Jefe o Jefa (034)",16837,,33,1610,4936,6007,4251
"Esposa(o) / compañera(o) (035)",9181,,19,1489,3362,3057,1254
"Hijo(a) / hijastro(a) (036)",27237,575,14059,9899,2168,524,12
"Yerno / nuera (037)",940,,3,560,330,45,2
"Nieto(a) (038)",4669,362,3374,882,47,4,
"Padres / suegros (039)",903,,,3,11,156,733
"Otro(a) pariente (040)",3026,49,1044,962,359,388,224
"Trabajador(a) del hogar (041)",41,,3,20,8,5,5
"Pensionistas (042)",15,,,10,,3,2
"Otro(a) no pariente (043)",594,6,97,230,117,95,49
"Hombres (044)",30197,491,9507,7604,4972,4627,2996
"Jefe o Jefa (045)",10928,,17,1130,3335,3852,2594
"Esposa(o) / compañera(o) (046)",615,,16,126,202,179,92
"Hijo(a) / hijastro(a) (047)",13679,287,7122,5030,984,249,7
"Yerno / nuera (048)",428,,2,219,175,30,2
"Nieto(a) (049)",2457,180,1773,468,34,2,
"Padres / suegros (050)",226,,,2,2,43,179
"Otro(a) pariente (051)",1543,19,524,505,182,212,101
"Trabajador(a) del hogar (052)",11,,1,4,,3,3
"Pensionistas (053)",11,,,8,,2,1
"Otro(a) no pariente (054)",299,5,52,112,58,55,17
"Mujeres (055)",33246,501,9125,8061,6366,5657,3536
"Jefe o Jefa (056)",5909,,16,480,1601,2155,1657
"Esposa(o) / compañera(o) (057)",8566,,3,1363,3160,2878,1162
"Hijo(a) / hijastro(a) (058)",13558,288,6937,4869,1184,275,5
"Yerno / nuera (059)",512,,1,341,155,15,
"Nieto(a) (060)",2212,182,1601,414,13,2,
"Padres / suegros (061)",677,,,1,9,113,554
"Otro(a) pariente (062)",1483,30,520,457,177,176,123
"Trabajador(a) del hogar (063)",30,,2,16,8,2,2
"Pensionistas (064)",4,,,2,,1,1
"Otro(a) no pariente (065)",295,1,45,118,59,40,32
,,,,,,,
"RURAL (066)",28065,527,9707,6448,4570,4268,2545
"Jefe o Jefa (067)",7177,,6,805,2132,2513,1721
"Esposa(o) / compañera(o) (068)",4249,,7,829,1563,1353,497
"Hijo(a) / hijastro(a) (069)",12864,328,7776,3944,635,177,4
"Yerno / nuera (070)",371,,3,264,88,16,
"Nieto(a) (071)",1858,164,1411,266,17,,
"Padres / suegros (072)",294,,,,2,59,233
"Otro(a) pariente (073)",1094,34,461,288,105,126,80
"Trabajador(a) del hogar (074)",11,,2,5,2,2,
"Otro(a) no pariente (076)",147,1,41,47,26,22,10
"Hombres (077)",13690,248,4972,3209,2125,1989,1147
"Jefe o Jefa (078)",5031,,3,630,1646,1735,1017
"Esposa(o) / compañera(o) (079)",205,,4,55,58,61,27
"Hijo(a) / hijastro(a) (080)",6580,154,3967,2079,300,78,2
"Yerno / nuera (081)",151,,,96,42,13,
"Nieto(a) (082)",990,78,743,161,8,,
"Padres / suegros (083)",78,,,,1,19,58
"Otro(a) pariente (084)",571,16,235,165,50,68,37
"Trabajador(a) del hogar (085)",4,,1,,2,1,
"Otro(a) no pariente (087)",80,,19,23,18,14,6
"Mujeres (088)",14375,279,4735,3239,2445,2279,1398
"Jefe o Jefa (089)",2146,,3,175,486,778,704
"Esposa(o) / compañera(o) (090)",4044,,3,774,1505,1292,470
"Hijo(a) / hijastro(a) (091)",6284,174,3809,1865,335,99,2
"Yerno / nuera (092)",220,,3,168,46,3,
"Nieto(a) (093)",868,86,668,105,9,,
"Padres / suegros (094)",216,,,,1,40,175
"Otro(a) pariente (095)",523,18,226,123,55,58,43
"Trabajador(a) del hogar (096)",7,,1,5,,1,
"Otro(a) no pariente (098)",67,1,22,24,8,8,4
