"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SULLANA (000)",79523,678,26146,25478,10126,3763,1635,405,76,,11216
"Catolica (001)",70173,589,22763,22572,8985,3363,1472,366,66,,9997
"Cristiana / Evangelica (002)",6556,68,2426,2021,789,278,111,26,7,,830
"Otra (003)",2092,13,696,673,269,99,48,12,2,,280
"Ninguna (004)",702,8,261,212,83,23,4,1,1,,109
,,,,,,,,,,,
"URBANA (006)",72399,616,23466,23199,9409,3536,1514,377,65,,10217
"Catolica (007)",63833,534,20389,20557,8352,3157,1360,340,56,,9088
"Cristiana / Evangelica (008)",5966,62,2203,1820,720,262,104,24,6,,765
"Otra (009)",1954,12,630,627,262,95,47,12,2,,267
"Ninguna (010)",646,8,244,195,75,22,3,1,1,,97
,,,,,,,,,,,
"RURAL (012)",7124,62,2680,2279,717,227,121,28,11,,999
"Catolica (013)",6340,55,2374,2015,633,206,112,26,10,,909
"Cristiana / Evangelica (014)",590,6,223,201,69,16,7,2,1,,65
"Otra (015)",138,1,66,46,7,4,1,,,,13
"Ninguna (016)",56,,17,17,8,1,1,,,,12
