"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AREQUIPA (000)",21396,121,9891,6787,3958,639
"Sin nivel (001)",532,8,52,165,227,80
"Educación inicial (002)",12,1,8,3,,
"Primaria (003)",2492,42,380,830,982,258
"Secundaria (004)",7660,70,4089,2194,1181,126
"Superior no univ. incompleta (005)",1967,,1219,511,217,20
"Superior no univ. completa (006)",3131,,1580,1112,404,35
"Superior univ. incompleta (007)",1876,,1093,473,285,25
"Superior univ. completa (008)",3726,,1470,1499,662,95
"Hombres (010)",12697,68,5463,3822,2820,524
"Sin nivel (011)",225,2,31,62,89,41
"Educación inicial (012)",11,1,7,3,,
"Primaria (013)",1557,23,178,433,701,222
"Secundaria (014)",4961,42,2464,1405,935,115
"Superior no univ. incompleta (015)",1208,,696,330,168,14
"Superior no univ. completa (016)",1656,,812,548,266,30
"Superior univ. incompleta (017)",1210,,655,312,221,22
"Superior univ. completa (018)",1869,,620,729,440,80
"Mujeres (020)",8699,53,4428,2965,1138,115
"Sin nivel (021)",307,6,21,103,138,39
"Educación inicial (022)",1,,1,,,
"Primaria (023)",935,19,202,397,281,36
"Secundaria (024)",2699,28,1625,789,246,11
"Superior no univ. incompleta (025)",759,,523,181,49,6
"Superior no univ. completa (026)",1475,,768,564,138,5
"Superior univ. incompleta (027)",666,,438,161,64,3
"Superior univ. completa (028)",1857,,850,770,222,15
,,,,,,
"Area Urbana (030)",21110,119,9754,6695,3914,628
"Sin nivel (031)",507,6,51,153,222,75
"Educación inicial (032)",12,1,8,3,,
"Primaria (033)",2429,42,362,804,965,256
"Secundaria (034)",7545,70,4012,2170,1169,124
"Superior no univ. incompleta (035)",1939,,1198,507,215,19
"Superior no univ. completa (036)",3114,,1572,1104,403,35
"Superior univ. incompleta (037)",1861,,1088,466,282,25
"Superior univ. completa (038)",3703,,1463,1488,658,94
"Hombres (040)",12495,68,5375,3756,2783,513
"Sin nivel (041)",207,2,30,53,86,36
"Educación inicial (042)",11,1,7,3,,
"Primaria (043)",1513,23,167,415,688,220
"Secundaria (044)",4877,42,2413,1386,923,113
"Superior no univ. incompleta (045)",1191,,683,328,167,13
"Superior no univ. completa (046)",1645,,807,543,265,30
"Superior univ. incompleta (047)",1200,,653,307,218,22
"Superior univ. completa (048)",1851,,615,721,436,79
"Mujeres (050)",8615,51,4379,2939,1131,115
"Sin nivel (051)",300,4,21,100,136,39
"Educación inicial (052)",1,,1,,,
"Primaria (053)",916,19,195,389,277,36
"Secundaria (054)",2668,28,1599,784,246,11
"Superior no univ. incompleta (055)",748,,515,179,48,6
"Superior no univ. completa (056)",1469,,765,561,138,5
"Superior univ. incompleta (057)",661,,435,159,64,3
"Superior univ. completa (058)",1852,,848,767,222,15
,,,,,,
"Area Rural (060)",286,2,137,92,44,11
"Sin nivel (061)",25,2,1,12,5,5
"Primaria (063)",63,,18,26,17,2
"Secundaria (064)",115,,77,24,12,2
"Superior no univ. incompleta (065)",28,,21,4,2,1
"Superior no univ. completa (066)",17,,8,8,1,
"Superior univ. incompleta (067)",15,,5,7,3,
"Superior univ. completa (068)",23,,7,11,4,1
"Hombres (070)",202,,88,66,37,11
"Sin nivel (071)",18,,1,9,3,5
"Primaria (073)",44,,11,18,13,2
"Secundaria (074)",84,,51,19,12,2
"Superior no univ. incompleta (075)",17,,13,2,1,1
"Superior no univ. completa (076)",11,,5,5,1,
"Superior univ. incompleta (077)",10,,2,5,3,
"Superior univ. completa (078)",18,,5,8,4,1
"Mujeres (080)",84,2,49,26,7,
"Sin nivel (081)",7,2,,3,2,
"Primaria (083)",19,,7,8,4,
"Secundaria (084)",31,,26,5,,
"Superior no univ. incompleta (085)",11,,8,2,1,
"Superior no univ. completa (086)",6,,3,3,,
"Superior univ. incompleta (087)",5,,3,2,,
"Superior univ. completa (088)",5,,2,3,,
