"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SATIPO (000)",193872,189727,3074,1071
"Hombres (001)",103868,101858,1456,554
"Mujeres (002)",90004,87869,1618,517
"Menores de 1 año (003)",4384,3456,729,199
"Hombres (004)",2236,1763,372,101
"Mujeres (005)",2148,1693,357,98
"De 1 a 5 años (006)",26707,24539,1386,782
"Hombres (007)",13668,12547,714,407
"Mujeres (008)",13039,11992,672,375
"De 6 a 14 años (009)",45464,45182,249,33
"Hombres (010)",23522,23382,122,18
"Mujeres (011)",21942,21800,127,15
"De 15 a 29 años (012)",57794,57550,223,21
"Hombres (013)",31345,31245,89,11
"Mujeres (014)",26449,26305,134,10
"De 30 a 44 años (015)",34810,34657,135,18
"Hombres (016)",18884,18835,41,8
"Mujeres (017)",15926,15822,94,10
"De 45 a 64 años (018)",19758,19584,166,8
"Hombres (019)",11248,11192,53,3
"Mujeres (020)",8510,8392,113,5
"De 65 a más años (021)",4955,4759,186,10
"Hombres (022)",2965,2894,65,6
"Mujeres (023)",1990,1865,121,4
,,,,
"URBANA (024)",53531,52805,422,304
"Hombres (025)",27526,27164,197,165
"Mujeres (026)",26005,25641,225,139
"Menores de 1 año (027)",986,814,122,50
"Hombres (028)",520,420,74,26
"Mujeres (029)",466,394,48,24
"De 1 a 5 años (030)",5669,5203,220,246
"Hombres (031)",2975,2732,108,135
"Mujeres (032)",2694,2471,112,111
"De 6 a 14 años (033)",11677,11661,11,5
"Hombres (034)",5849,5843,3,3
"Mujeres (035)",5828,5818,8,2
"De 15 a 29 años (036)",16297,16286,10,1
"Hombres (037)",8321,8319,2,
"Mujeres (038)",7976,7967,8,1
"De 30 a 44 años (039)",10839,10834,4,1
"Hombres (040)",5457,5454,2,1
"Mujeres (041)",5382,5380,2,
"De 45 a 64 años (042)",6510,6495,14,1
"Hombres (043)",3556,3555,1,
"Mujeres (044)",2954,2940,13,1
"De 65 a más años (045)",1553,1512,41,
"Hombres (046)",848,841,7,
"Mujeres (047)",705,671,34,
,,,,
"RURAL (048)",140341,136922,2652,767
"Hombres (049)",76342,74694,1259,389
"Mujeres (050)",63999,62228,1393,378
"Menores de 1 año (051)",3398,2642,607,149
"Hombres (052)",1716,1343,298,75
"Mujeres (053)",1682,1299,309,74
"De 1 a 5 años (054)",21038,19336,1166,536
"Hombres (055)",10693,9815,606,272
"Mujeres (056)",10345,9521,560,264
"De 6 a 14 años (057)",33787,33521,238,28
"Hombres (058)",17673,17539,119,15
"Mujeres (059)",16114,15982,119,13
"De 15 a 29 años (060)",41497,41264,213,20
"Hombres (061)",23024,22926,87,11
"Mujeres (062)",18473,18338,126,9
"De 30 a 44 años (063)",23971,23823,131,17
"Hombres (064)",13427,13381,39,7
"Mujeres (065)",10544,10442,92,10
"De 45 a 64 años (066)",13248,13089,152,7
"Hombres (067)",7692,7637,52,3
"Mujeres (068)",5556,5452,100,4
"De 65 a más años (069)",3402,3247,145,10
"Hombres (070)",2117,2053,58,6
"Mujeres (071)",1285,1194,87,4
