"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PARINACOCHAS (000)",7887,126,3209,2528,721,297,130,45,10,,821
"Sin Nivel (001)",2312,66,969,680,190,91,56,23,4,,233
"Educación Inicial (002)",11,,7,1,,,,,,,3
"Primaria (003)",2397,40,1155,736,178,50,29,13,1,,195
"Secundaria (004)",1746,17,747,595,113,48,19,3,4,,200
"Sup. no Univ. Incompleta (005)",345,2,106,135,37,12,4,2,,,47
"Sup. no Univ. Completa (006)",771,1,176,291,141,56,13,2,1,,90
"Sup. Univ. Incompleta (007)",74,,14,24,10,9,1,,,,16
"Sup. Univ. Completa (008)",231,,35,66,52,31,8,2,,,37
,,,,,,,,,,,
"URBANA (010)",4596,64,1783,1500,469,198,87,31,7,,457
"Sin Nivel (011)",825,29,345,210,59,44,24,13,1,,100
"Educación Inicial (012)",4,,3,,,,,,,,1
"Primaria (013)",1315,22,652,393,100,29,23,10,1,,85
"Secundaria (014)",1233,12,511,442,87,31,16,3,4,,127
"Sup. no Univ. Incompleta (015)",299,,93,119,33,10,4,2,,,38
"Sup. no Univ. Completa (016)",675,1,145,266,133,47,13,1,1,,68
"Sup. Univ. Incompleta (017)",56,,12,17,10,8,1,,,,8
"Sup. Univ. Completa (018)",189,,22,53,47,29,6,2,,,30
,,,,,,,,,,,
"RURAL (020)",3291,62,1426,1028,252,99,43,14,3,,364
"Sin Nivel (021)",1487,37,624,470,131,47,32,10,3,,133
"Educación Inicial (022)",7,,4,1,,,,,,,2
"Primaria (023)",1082,18,503,343,78,21,6,3,,,110
"Secundaria (024)",513,5,236,153,26,17,3,,,,73
"Sup. no Univ. Incompleta (025)",46,2,13,16,4,2,,,,,9
"Sup. no Univ. Completa (026)",96,,31,25,8,9,,1,,,22
"Sup. Univ. Incompleta (027)",18,,2,7,,1,,,,,8
"Sup. Univ. Completa (028)",42,,13,13,5,2,2,,,,7
