"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OCROS (000)",3639,48,1033,1105,1055,398
"Agric., ganadería, caza y silvicultura (001)",2128,37,580,569,640,302
"Pesca (002)",2,,1,,,1
"Explotación de minas y canteras (003)",1,,,1,,
"Industrias manufactureras (004)",112,,36,42,30,4
"Suministro de electricidad, gas y agua (005)",3,,,2,1,
"Construcción (006)",216,,79,59,62,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",375,2,96,122,122,33
"Venta, mant.y rep. veh.autom.y motoc. (008)",10,,6,3,1,
"Comercio al por mayor (009)",14,,5,6,3,
"Comercio al por menor (010)",351,2,85,113,118,33
"Hoteles y restaurantes (011)",94,1,23,37,28,5
"Trans., almac. y comunicaciones (012)",90,2,30,33,25,
"Activid.inmobil., empres. y alquileres (014)",54,,15,20,15,4
"Admin.pub. y defensa; p. segur.soc afil (015)",98,,26,43,27,2
"Enseñanza (016)",139,,32,77,30,
"Servicios sociales y de salud (017)",35,,9,14,8,4
"Otras activ. serv.comun.soc y personales (018)",65,2,24,22,12,5
"Hogares privados con servicio doméstico (019)",24,2,9,7,5,1
"Actividad economica no especificada (021)",92,,21,25,31,15
"Desocupado (022)",111,2,52,32,19,6
"Hombres (023)",2699,33,772,779,799,316
"Agric., ganadería, caza y silvicultura (024)",1770,26,482,474,539,249
"Pesca (025)",2,,1,,,1
"Explotación de minas y canteras (026)",1,,,1,,
"Industrias manufactureras (027)",85,,30,26,25,4
"Suministro de electricidad, gas y agua (028)",2,,,2,,
"Construcción (029)",212,,78,58,61,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",157,1,36,42,58,20
"Venta, mant.y rep. veh.autom.y motoc. (031)",9,,6,2,1,
"Comercio al por mayor (032)",4,,2,2,,
"Comercio al por menor (033)",144,1,28,38,57,20
"Hoteles y restaurantes (034)",13,,3,5,5,
"Trans., almac. y comunicaciones (035)",88,2,29,32,25,
"Activid.inmobil., empres. y alquileres (037)",32,,7,13,8,4
"Admin.pub. y defensa; p. segur.soc afil (038)",80,,21,33,24,2
"Enseñanza (039)",58,,7,37,14,
"Servicios sociales y de salud (040)",19,,3,6,7,3
"Otras activ. serv.comun.soc y personales (041)",46,1,19,16,6,4
"Hogares privados con servicio doméstico (042)",5,1,2,1,,1
"Actividad economica no especificada (044)",36,,13,6,10,7
"Desocupado (045)",93,2,41,27,17,6
