"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PADRE ABAD (000)",46652,11315,3734,1062,30630
"Quechua (001)",2961,388,115,49,2419
"Aymara (002)",34,10,3,5,20
"Asháninka (003)",60,13,2,6,43
"Otra lengua nativa (004)",1834,1121,53,5,657
"Castellano (005)",41691,9766,3553,993,27448
"Idioma Extranjero (006)",14,3,6,3,2
"Es Sordomudo/a (007)",58,14,2,1,41
"Hombres (009)",25938,5628,2212,795,17363
"Quechua (010)",1637,169,73,38,1365
"Aymara (011)",21,3,2,3,15
"Asháninka (012)",35,6,1,5,26
"Otra lengua nativa (013)",962,567,31,5,361
"Castellano (014)",23236,4875,2098,740,15568
"Idioma Extranjero (015)",11,2,5,3,1
"Es Sordomudo/a (016)",36,6,2,1,27
"Mujeres (018)",20714,5687,1522,267,13267
"Quechua (019)",1324,219,42,11,1054
"Aymara (020)",13,7,1,2,5
"Asháninka (021)",25,7,1,1,17
"Otra lengua nativa (022)",872,554,22,,296
"Castellano (023)",18455,4891,1455,253,11880
"Idioma Extranjero (024)",3,1,1,,1
"Es Sordomudo/a (025)",22,8,,,14
,,,,,
"URBANA (027)",24823,4343,2971,926,16645
"Quechua (028)",1102,95,72,28,913
"Aymara (029)",12,2,3,1,7
"Asháninka (030)",21,2,2,4,15
"Otra lengua nativa (031)",180,50,36,4,91
"Castellano (032)",23479,4189,2852,885,15605
"Idioma Extranjero (033)",13,3,6,3,1
"Es Sordomudo/a (034)",16,2,,1,13
"Hombres (036)",13332,2071,1775,705,8825
"Quechua (037)",560,38,49,25,454
"Aymara (038)",7,1,2,1,4
"Asháninka (039)",12,2,1,4,7
"Otra lengua nativa (040)",85,20,19,4,43
"Castellano (041)",12649,2008,1699,667,8309
"Idioma Extranjero (042)",10,2,5,3,
"Es Sordomudo/a (043)",9,,,1,8
"Mujeres (045)",11491,2272,1196,221,7820
"Quechua (046)",542,57,23,3,459
"Aymara (047)",5,1,1,,3
"Asháninka (048)",9,,1,,8
"Otra lengua nativa (049)",95,30,17,,48
"Castellano (050)",10830,2181,1153,218,7296
"Idioma Extranjero (051)",3,1,1,,1
"Es Sordomudo/a (052)",7,2,,,5
,,,,,
"RURAL (054)",21829,6972,763,136,13985
"Quechua (055)",1859,293,43,21,1506
"Aymara (056)",22,8,,4,13
"Asháninka (057)",39,11,,2,28
"Otra lengua nativa (058)",1654,1071,17,1,566
"Castellano (059)",18212,5577,701,108,11843
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",42,12,2,,28
"Hombres (063)",12606,3557,437,90,8538
"Quechua (064)",1077,131,24,13,911
"Aymara (065)",14,2,,2,11
"Asháninka (066)",23,4,,1,19
"Otra lengua nativa (067)",877,547,12,1,318
"Castellano (068)",10587,2867,399,73,7259
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",27,6,2,,19
"Mujeres (072)",9223,3415,326,46,5447
"Quechua (073)",782,162,19,8,595
"Aymara (074)",8,6,,2,2
"Asháninka (075)",16,7,,1,9
"Otra lengua nativa (076)",777,524,5,,248
"Castellano (077)",7625,2710,302,35,4584
"Es Sordomudo/a (079)",15,6,,,9
