"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PASCO (000)",133128,29589,46181,31476,19481,6401
"Sin nivel (001)",6440,348,435,886,2233,2538
"Educación inicial (002)",1226,1119,72,35,,
"Primaria (003)",41704,20777,3814,6632,7451,3030
"Secundaria (004)",53100,7345,26225,13111,5819,600
"Superior no univ. incompleta (005)",5856,,3866,1510,442,38
"Superior no univ. completa (006)",5628,,2591,2356,636,45
"Superior univ. incompleta (007)",7580,,5236,1668,642,34
"Superior univ. completa (008)",11594,,3942,5278,2258,116
"PEA (010)",52619,424,18860,20162,11298,1875
"Sin nivel (011)",1723,20,148,335,694,526
"Educación inicial (012)",50,6,26,18,,
"Primaria (013)",9783,232,1636,3165,3694,1056
"Secundaria (014)",22489,166,9932,8474,3713,204
"Superior no univ. incompleta (015)",2711,,1356,1009,324,22
"Superior no univ. completa (016)",4044,,1723,1809,502,10
"Superior univ. incompleta (017)",2925,,1288,1149,477,11
"Superior univ. completa (018)",8894,,2751,4203,1894,46
"Ocupada (020)",49019,381,16777,19154,10896,1811
"Sin nivel (021)",1578,9,110,291,658,510
"Educación inicial (022)",42,5,22,15,,
"Primaria (023)",9275,215,1480,3007,3551,1022
"Secundaria (024)",20686,152,8769,8018,3553,194
"Superior no univ. incompleta (025)",2521,,1233,951,316,21
"Superior no univ. completa (026)",3780,,1547,1728,495,10
"Superior univ. incompleta (027)",2748,,1172,1099,467,10
"Superior univ. completa (028)",8389,,2444,4045,1856,44
