"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUAYLAS (000)",25154,3812,8026,6483,6833
"Asiste actualmente (001)",15648,1260,7406,5201,1781
"No asiste (002)",9506,2552,620,1282,5052
"Hombres (004)",12722,1916,4090,3290,3426
"Asiste actualmente (005)",8138,606,3787,2777,968
"No asiste (006)",4584,1310,303,513,2458
"Mujeres (008)",12432,1896,3936,3193,3407
"Asiste actualmente (009)",7510,654,3619,2424,813
"No asiste (010)",4922,1242,317,769,2594
,,,,,
"URBANA (012)",7469,1016,2141,1917,2395
"Asiste actualmente (013)",5261,477,2062,1748,974
"No asiste (014)",2208,539,79,169,1421
"Hombres (016)",3793,506,1120,962,1205
"Asiste actualmente (017)",2672,232,1076,879,485
"No asiste (018)",1121,274,44,83,720
"Mujeres (020)",3676,510,1021,955,1190
"Asiste actualmente (021)",2589,245,986,869,489
"No asiste (022)",1087,265,35,86,701
,,,,,
"RURAL (024)",17685,2796,5885,4566,4438
"Asiste actualmente (025)",10387,783,5344,3453,807
"No asiste (026)",7298,2013,541,1113,3631
"Hombres (028)",8929,1410,2970,2328,2221
"Asiste actualmente (029)",5466,374,2711,1898,483
"No asiste (030)",3463,1036,259,430,1738
"Mujeres (032)",8756,1386,2915,2238,2217
"Asiste actualmente (033)",4921,409,2633,1555,324
"No asiste (034)",3835,977,282,683,1893
