"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MARISCAL CACERES (000)",373,119,254
"Sin nivel (001)",12,6,6
"Primaria (003)",130,55,75
"Secundaria (004)",176,49,127
"Superior no univ. incompleta (005)",20,1,19
"Superior no univ. completa (006)",18,4,14
"Superior univ. incompleta (007)",3,1,2
"Superior univ. completa (008)",14,3,11
"De 14 a 29 años (010)",206,81,125
"Sin nivel (011)",2,2,
"Primaria (013)",63,36,27
"Secundaria (014)",115,39,76
"Superior no univ. incompleta (015)",9,,9
"Superior no univ. completa (016)",14,3,11
"Superior univ. incompleta (017)",2,1,1
"Superior univ. completa (018)",1,,1
"De 30 a 44 años (020)",103,31,72
"Sin nivel (021)",7,3,4
"Primaria (023)",37,15,22
"Secundaria (024)",37,8,29
"Superior no univ. incompleta (025)",9,1,8
"Superior no univ. completa (026)",3,1,2
"Superior univ. completa (028)",10,3,7
"De 45 a 64 años (030)",54,7,47
"Sin nivel (031)",2,1,1
"Primaria (033)",24,4,20
"Secundaria (034)",22,2,20
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",10,,10
"Sin nivel (041)",1,,1
"Primaria (043)",6,,6
"Secundaria (044)",2,,2
"Superior no univ. incompleta (045)",1,,1
,,,
"AREA URBANA (050)",265,49,216
"Sin nivel (051)",4,2,2
"Primaria (053)",74,15,59
"Secundaria (054)",138,26,112
"Superior no univ. incompleta (055)",17,,17
"Superior no univ. completa (056)",15,2,13
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",14,3,11
"De 14 a 29 años (060)",135,33,102
"Sin nivel (061)",1,1,
"Primaria (063)",26,8,18
"Secundaria (064)",87,22,65
"Superior no univ. incompleta (065)",7,,7
"Superior no univ. completa (066)",11,1,10
"Superior univ. incompleta (067)",2,1,1
"Superior univ. completa (068)",1,,1
"De 30 a 44 años (070)",73,12,61
"Sin nivel (071)",1,,1
"Primaria (073)",21,5,16
"Secundaria (074)",30,3,27
"Superior no univ. incompleta (075)",8,,8
"Superior no univ. completa (076)",3,1,2
"Superior univ. completa (078)",10,3,7
"De 45 a 64 años (080)",49,4,45
"Sin nivel (081)",2,1,1
"Primaria (083)",22,2,20
"Secundaria (084)",19,1,18
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",8,,8
"Primaria (093)",5,,5
"Secundaria (094)",2,,2
"Superior no univ. incompleta (095)",1,,1
,,,
"AREA RURAL (100)",108,70,38
"Sin nivel (101)",8,4,4
"Primaria (103)",56,40,16
"Secundaria (104)",38,23,15
"Superior no univ. incompleta (105)",3,1,2
"Superior no univ. completa (106)",3,2,1
"De 14 a 29 años (110)",71,48,23
"Sin nivel (111)",1,1,
"Primaria (113)",37,28,9
"Secundaria (114)",28,17,11
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",3,2,1
"De 30 a 44 años (120)",30,19,11
"Sin nivel (121)",6,3,3
"Primaria (123)",16,10,6
"Secundaria (124)",7,5,2
"Superior no univ. incompleta (125)",1,1,
"De 45 a 64 años (130)",5,3,2
"Primaria (133)",2,2,
"Secundaria (134)",3,1,2
"De 65 y más años (140)",2,,2
"Sin nivel (141)",1,,1
"Primaria (143)",1,,1
