"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",33372,2094,38,15421,10411,1164,1749,737,1758
"Agric., ganadería, caza y silvicultura (001)",17281,1860,27,11330,3720,126,96,57,65
"Pesca (002)",304,9,,163,119,4,5,1,3
"Explotación de minas y canteras (003)",21,,,4,11,1,2,,3
"Industrias manufactureras (004)",1122,10,1,345,609,61,49,24,23
"Suministro de electricidad, gas y agua (005)",51,1,,7,27,6,4,3,3
"Construcción (006)",1164,4,1,308,626,73,64,38,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3914,66,4,1241,1900,230,210,121,142
"Venta, mant.y rep. veh.autom.y motoc. (008)",383,2,,60,214,32,39,12,24
"Comercio al por mayor (009)",192,2,,54,80,13,19,12,12
"Comercio al por menor (010)",3339,62,4,1127,1606,185,152,97,106
"Hoteles y restaurantes (011)",1080,19,,406,528,44,34,27,22
"Trans., almac. y comunicaciones (012)",1943,6,2,433,1168,115,81,78,60
"Intermediación financiera (013)",44,,,,7,4,11,6,16
"Activid.inmobil., empres. y de alquiler (014)",683,,,48,199,81,122,57,176
"Admin.pub. y defensa; p. segur.soc.afil (015)",603,3,1,57,214,72,113,40,103
"Enseñanza (016)",1928,,,2,124,164,688,162,788
"Servicios sociales y de salud (017)",454,1,,11,62,29,140,25,186
"Otras activ. serv.comun.soc y personales (018)",506,7,1,144,189,55,33,32,45
"Hogares privados con servicio doméstico (019)",1060,56,1,532,431,17,12,7,4
"Actividad economica no especificada (021)",1214,52,,390,477,82,85,59,69
"Hombres (022)",23727,1310,23,11277,7688,811,1003,508,1107
"Agric., ganadería, caza y silvicultura (023)",14030,1245,17,9144,3310,116,83,55,60
"Pesca (024)",290,7,,154,117,4,4,1,3
"Explotación de minas y canteras (025)",19,,,3,11,1,2,,2
"Industrias manufactureras (026)",857,6,1,269,470,46,31,18,16
"Suministro de electricidad, gas y agua (027)",44,1,,7,23,5,2,3,3
"Construcción (028)",1134,4,1,298,616,70,59,37,49
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1973,16,1,513,1035,126,121,72,89
"Venta, mant.y rep. veh.autom.y motoc. (030)",360,2,,58,202,31,34,11,22
"Comercio al por mayor (031)",104,,,29,43,7,10,6,9
"Comercio al por menor (032)",1509,14,1,426,790,88,77,55,58
"Hoteles y restaurantes (033)",244,2,,58,138,14,7,14,11
"Trans., almac. y comunicaciones (034)",1838,6,2,420,1119,108,70,67,46
"Intermediación financiera (035)",28,,,,4,3,4,5,12
"Activid.inmobil., empres. y de alquiler (036)",493,,,41,147,59,70,44,132
"Admin.pub. y defensa; p. segur.soc.afil (037)",430,1,1,40,153,52,77,29,77
"Enseñanza (038)",1087,,,2,64,105,375,94,447
"Servicios sociales y de salud (039)",219,,,5,37,22,48,15,92
"Otras activ. serv.comun.soc y personales (040)",294,3,,70,119,34,18,23,27
"Hogares privados con servicio doméstico (041)",66,2,,35,26,,1,1,1
"Actividad economica no especificada (043)",681,17,,218,299,46,31,30,40
