"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MAYNAS (000)",177995,437370,400945,,11366,91.7,2.6
"De 12 a 14 años (001)",18022,165,153,,38,92.7,23
"De 15 a 19 años (002)",28542,6677,6472,1782,96.9,26.7,
"De 20 a 24 años (003)",24357,23459,22776,3015,97.1,12.9,
"De 25 a 29 años (004)",20213,35160,34098,2726,97,7.8,
"De 30 a 34 años (005)",16940,44208,42443,2023,96,4.6,
"De 35 a 39 años (006)",15021,51239,48592,1270,94.8,2.5,
"De 40 a 44 años (007)",13435,53233,49986,446,93.9,0.8,
"De 45 a 49 años (008)",10946,49451,45635,65,92.3,0.1,
"De 50 y más años (009)",30519,173778,150790,1,86.8,,
"PEA (010)",62473,169853,156626,3034,92.2,1.8,
"De 12 a 14 años (011)",1000,35,35,7,100,20,
"De 15 a 19 años (012)",5409,1411,1361,290,96.5,20.6,
"De 20 a 24 años (013)",8487,6740,6544,643,97.1,9.5,
"De 25 a 29 años (014)",8496,12311,11920,770,96.8,6.3,
"De 30 a 34 años (015)",7891,18254,17535,675,96.1,3.7,
"De 35 a 39 años (016)",7503,23018,21855,454,94.9,2,
"De 40 a 44 años (017)",7197,26298,24667,164,93.8,0.6,
"De 45 a 49 años (018)",5799,24158,22358,30,92.5,0.1,
"De 50 y más años (019)",10691,57628,50351,1,87.4,,
"Ocupada (020)",59386,165169,152197,2851,92.1,1.7,
"De 12 a 14 años (021)",934,31,31,7,100,22.6,
"De 15 a 19 años (022)",4768,1265,1217,251,96.2,19.8,
"De 20 a 24 años (023)",7682,6227,6042,585,97,9.4,
"De 25 a 29 años (024)",7950,11688,11312,726,96.8,6.2,
"De 30 a 34 años (025)",7584,17651,16957,651,96.1,3.7,
"De 35 a 39 años (026)",7267,22250,21128,438,95,2,
"De 40 a 44 años (027)",7010,25685,24093,162,93.8,0.6,
"De 45 a 49 años (028)",5662,23601,21832,30,92.5,0.1,
"De 50 y más años (029)",10529,56771,49585,1,87.3,,
"Desocupada (030)",3087,4684,4429,183,94.6,3.9,
"De 12 a 14 años (031)",66,4,4,,100,,
"De 15 a 19 años (032)",641,146,144,39,98.6,26.7,
"De 20 a 24 años (033)",805,513,502,58,97.9,11.3,
"De 25 a 29 años (034)",546,623,608,44,97.6,7.1,
