"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARABAYA (000)",16746,115,5845,6620,1643,471,206,64,17,,1765
"Sin Nivel (001)",4805,29,1451,1962,583,231,107,44,12,,386
"Educación Inicial (002)",25,,9,12,1,,,,,,3
"Primaria (003)",8084,57,3151,3218,697,159,72,15,4,,711
"Secundaria (004)",3138,26,1154,1186,216,40,13,4,1,,498
"Sup. no Univ. Incompleta (005)",173,,30,71,27,2,1,,,,42
"Sup. no Univ. Completa (006)",208,2,17,67,53,17,5,,,,47
"Sup. Univ. Incompleta (007)",99,1,17,27,13,3,2,,,,36
"Sup. Univ. Completa (008)",214,,16,77,53,19,6,1,,,42
,,,,,,,,,,,
"URBANA (010)",7011,50,2382,2629,736,211,94,37,10,,862
"Sin Nivel (011)",1604,14,494,587,190,89,42,25,7,,156
"Educación Inicial (012)",7,,3,2,,,,,,,2
"Primaria (013)",3101,21,1218,1178,294,72,33,8,2,,275
"Secundaria (014)",1744,12,603,664,134,19,9,3,1,,299
"Sup. no Univ. Incompleta (015)",136,,23,57,22,1,1,,,,32
"Sup. no Univ. Completa (016)",165,2,14,59,42,11,4,,,,33
"Sup. Univ. Incompleta (017)",78,1,14,22,10,3,1,,,,27
"Sup. Univ. Completa (018)",176,,13,60,44,16,4,1,,,38
,,,,,,,,,,,
"RURAL (020)",9735,65,3463,3991,907,260,112,27,7,,903
"Sin Nivel (021)",3201,15,957,1375,393,142,65,19,5,,230
"Educación Inicial (022)",18,,6,10,1,,,,,,1
"Primaria (023)",4983,36,1933,2040,403,87,39,7,2,,436
"Secundaria (024)",1394,14,551,522,82,21,4,1,,,199
"Sup. no Univ. Incompleta (025)",37,,7,14,5,1,,,,,10
"Sup. no Univ. Completa (026)",43,,3,8,11,6,1,,,,14
"Sup. Univ. Incompleta (027)",21,,3,5,3,,1,,,,9
"Sup. Univ. Completa (028)",38,,3,17,9,3,2,,,,4
