"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PAUCARTAMBO (000)",42069,25529,1190,417,14998
"Quechua (001)",35996,22991,521,271,12260
"Aymara (002)",95,44,9,7,43
"Asháninka (003)",15,14,,,1
"Otra lengua nativa (004)",207,85,1,,121
"Castellano (005)",5682,2357,657,136,2542
"Idioma Extranjero (006)",9,,1,2,6
"Es Sordomudo/a (007)",65,38,1,1,25
"Hombres (009)",21163,12377,660,258,7908
"Quechua (010)",17872,11057,301,150,6394
"Aymara (011)",43,17,5,4,19
"Asháninka (012)",7,7,,,
"Otra lengua nativa (013)",104,40,1,,63
"Castellano (014)",3097,1234,352,103,1416
"Idioma Extranjero (015)",6,,1,1,4
"Es Sordomudo/a (016)",34,22,,,12
"Mujeres (018)",20906,13152,530,159,7090
"Quechua (019)",18124,11934,220,121,5866
"Aymara (020)",52,27,4,3,24
"Asháninka (021)",8,7,,,1
"Otra lengua nativa (022)",103,45,,,58
"Castellano (023)",2585,1123,305,33,1126
"Idioma Extranjero (024)",3,,,1,2
"Es Sordomudo/a (025)",31,16,1,1,13
,,,,,
"URBANA (027)",7909,2516,792,185,4421
"Quechua (028)",4470,1363,252,66,2790
"Aymara (029)",30,2,4,3,21
"Asháninka (030)",1,1,,,
"Otra lengua nativa (031)",11,3,1,,7
"Castellano (032)",3380,1144,534,114,1592
"Idioma Extranjero (033)",7,,1,2,4
"Es Sordomudo/a (034)",10,3,,,7
"Hombres (036)",3928,1172,441,132,2186
"Quechua (037)",2110,603,152,43,1312
"Aymara (038)",16,,3,3,10
"Otra lengua nativa (040)",4,1,1,,2
"Castellano (041)",1788,567,284,85,855
"Idioma Extranjero (042)",5,,1,1,3
"Es Sordomudo/a (043)",5,1,,,4
"Mujeres (045)",3981,1344,351,53,2235
"Quechua (046)",2360,760,100,23,1478
"Aymara (047)",14,2,1,,11
"Asháninka (048)",1,1,,,
"Otra lengua nativa (049)",7,2,,,5
"Castellano (050)",1592,577,250,29,737
"Idioma Extranjero (051)",2,,,1,1
"Es Sordomudo/a (052)",5,2,,,3
,,,,,
"RURAL (054)",34160,23013,398,232,10577
"Quechua (055)",31526,21628,269,205,9470
"Aymara (056)",65,42,5,4,22
"Asháninka (057)",14,13,,,1
"Otra lengua nativa (058)",196,82,,,114
"Castellano (059)",2302,1213,123,22,950
"Idioma Extranjero (060)",2,,,,2
"Es Sordomudo/a (061)",55,35,1,1,18
"Hombres (063)",17235,11205,219,126,5722
"Quechua (064)",15762,10454,149,107,5082
"Aymara (065)",27,17,2,1,9
"Asháninka (066)",7,7,,,
"Otra lengua nativa (067)",100,39,,,61
"Castellano (068)",1309,667,68,18,561
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",29,21,,,8
"Mujeres (072)",16925,11808,179,106,4855
"Quechua (073)",15764,11174,120,98,4388
"Aymara (074)",38,25,3,3,13
"Asháninka (075)",7,6,,,1
"Otra lengua nativa (076)",96,43,,,53
"Castellano (077)",993,546,55,4,389
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",26,14,1,1,10
