"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUAYTARA",,,,,,,,
"Hogares (001)",6854,4278,1359,297,13,130,64,2191
"Ocupantes presentes (002)",21756,14554,4877,1086,39,496,219,5914
"Casa independiente",,,,,,,,
"Hogares (004)",5575,3433,1315,285,13,124,59,1776
"Ocupantes presentes (005)",17146,11325,4706,1040,39,471,202,4593
"Departamento en edificio",,,,,,,,
"Hogares (007)",6,5,6,2,,1,,
"Ocupantes presentes (008)",24,21,24,5,,6,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",18,7,8,2,,1,,7
"Ocupantes presentes (011)",61,29,39,11,,5,,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",36,25,19,4,,2,4,5
"Ocupantes presentes (014)",105,75,64,12,,8,16,12
"Choza o cabaña",,,,,,,,
"Hogares (016)",1201,794,10,3,,2,1,400
"Ocupantes presentes (017)",4387,3083,43,15,,6,1,1287
"Vivienda improvisada",,,,,,,,
"Hogares (019)",3,3,,,,,,
"Ocupantes presentes (020)",5,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",11,9,1,1,,,,1
"Ocupantes presentes (023)",18,12,1,3,,,,3
"Otro tipo",,,,,,,,
"Hogares (025)",4,2,,,,,,2
"Ocupantes presentes (026)",10,4,,,,,,6
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2010,1236,807,185,8,84,45,549
"Ocupantes presentes (029)",6453,4250,3016,703,27,341,167,1391
"Casa independiente",,,,,,,,
"Hogares (031)",1944,1195,774,176,8,80,41,536
"Ocupantes presentes (032)",6253,4119,2889,672,27,322,151,1365
"Departamento en edificio",,,,,,,,
"Hogares (034)",6,5,6,2,,1,,
"Ocupantes presentes (035)",24,21,24,5,,6,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",18,7,8,2,,1,,7
"Ocupantes presentes (038)",61,29,39,11,,5,,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",36,25,19,4,,2,4,5
"Ocupantes presentes (041)",105,75,64,12,,8,16,12
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",3,3,,,,,,
"Ocupantes presentes (047)",5,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",2,1,,1,,,,
"Ocupantes presentes (050)",4,1,,3,,,,
"Otro tipo",,,,,,,,
"Hogares (052)",1,,,,,,,1
"Ocupantes presentes (053)",1,,,,,,,1
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4844,3042,552,112,5,46,19,1642
"Ocupantes presentes (056)",15303,10304,1861,383,12,155,52,4523
"Casa independiente",,,,,,,,
"Hogares (058)",3631,2238,541,109,5,44,18,1240
"Ocupantes presentes (059)",10893,7206,1817,368,12,149,51,3228
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1201,794,10,3,,2,1,400
"Ocupantes presentes (071)",4387,3083,43,15,,6,1,1287
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",9,8,1,,,,,1
"Ocupantes presentes (077)",14,11,1,,,,,3
"Otro tipo",,,,,,,,
"Hogares (079)",3,2,,,,,,1
"Ocupantes presentes (080)",9,4,,,,,,5
